Allergic condition,Read code,Term
drug allergy,Xa5ja,Flupentixol allergy
drug allergy,Xa5jA,Trifluperidol allergy
drug allergy,Xa5jb,Oxypertine allergy
drug allergy,Xa5jB,Haloperidol decanoate allergy
drug allergy,Xa5jc,Remoxipride allergy
drug allergy,Xa5jC,Droperidol allergy
drug allergy,Xa5jd,Decarboxylase inhibitor allergy
drug allergy,Xa5jD,Haloperidol allergy
drug allergy,Xa5je,Selegiline allergy
drug allergy,Xa5jE,Diphenylbutylpiperidine allergy
drug allergy,Xa5jf,Central stimulant allergy
drug allergy,Xa5jF,Pimozide allergy
drug allergy,Xa5jg,Pemoline allergy
drug allergy,Xa5jG,Fluspirilene allergy
drug allergy,Xa5jh,Methylphenidate allergy
drug allergy,Xa5jH,Phenothiazine allergy
drug allergy,Xa5ji,Prolintane allergy
drug allergy,Xa5jI,Levomepromazine allergy
drug allergy,Xa5jj,Amfetamine group allergy
drug allergy,Xa5jJ,Pericyazine allergy
drug allergy,Xa5jk,Dexamfetamine allergy
drug allergy,Xa5jK,Fluphenazine decanoate allergy
drug allergy,Xa5jl,Alcohol metabolism modifier allergy
drug allergy,Xa5jL,Fluphenazine enanthate allergy
drug allergy,Xa5jm,Disulfiram allergy
drug allergy,Xa5jM,Thiethylperazine allergy
drug allergy,Xa5jn,Drug groups prim affecting autonomic nervous system allergy
drug allergy,Xa5jN,Fluphenazine allergy
drug allergy,Xa5jo,Beta-adrenoceptor blocking drug allergy
drug allergy,Xa5jO,Chlorpromazine allergy
drug allergy,Xa5jp,Cardioselective beta-blocker allergy
drug allergy,Xa5jP,Pipotiazine allergy
drug allergy,Xa5jq,Acebutolol allergy
drug allergy,Xa5jQ,Promazine allergy
drug allergy,Xa5jr,Atenolol allergy
drug allergy,Xa5jR,Thioridazine allergy
drug allergy,Xa5js,Betaxolol allergy
drug allergy,Xa5jS,Perphenazine allergy
drug allergy,Xa5jt,Bisoprolol allergy
drug allergy,Xa5jT,Prochlorperazine allergy
drug allergy,Xa5ju,Celiprolol allergy
drug allergy,Xa5jU,Trifluoperazine allergy
drug allergy,Xa5jv,Esmolol allergy
drug allergy,Xa5jV,Thioxanthene allergy
drug allergy,Xa5jw,Metoprolol allergy
drug allergy,Xa5jW,Chlorprothixene allergy
drug allergy,Xa5jx,Non-cardioselective beta-blocker allergy
drug allergy,Xa5jX,Flupentixol decanoate allergy
drug allergy,Xa5jy,Nadolol allergy
drug allergy,Xa5jY,Zuclopenthixol decanoate allergy
drug allergy,Xa5jz,Pindolol allergy
drug allergy,Xa5jZ,Zuclopenthixol allergy
drug allergy,Xa5k0,Carvedilol allergy
drug allergy,Xa5k1,Metipranolol allergy
drug allergy,Xa5k2,Carteolol allergy
drug allergy,Xa5k3,Labetalol allergy
drug allergy,Xa5k4,Levobunolol allergy
drug allergy,Xa5k5,Oxprenolol allergy
drug allergy,Xa5k6,Penbutolol allergy
drug allergy,Xa5k7,Practolol allergy
drug allergy,Xa5k8,Propranolol allergy
drug allergy,Xa5k9,Sotalol allergy
drug allergy,Xa5ka,Anticholinesterase parasympathomimetic allergy
drug allergy,Xa5kA,Timolol allergy
drug allergy,Xa5kb,Physostigmine allergy
drug allergy,Xa5kB,Alpha-adrenoceptor blocking drug allergy
drug allergy,Xa5kc,Demecarium allergy
drug allergy,Xa5kC,Alfuzosin allergy
drug allergy,Xa5kd,Distigmine allergy
drug allergy,Xa5kD,Doxazosin allergy
drug allergy,Xa5ke,Ecothiopate allergy
drug allergy,Xa5kE,Indoramin allergy
drug allergy,Xa5kf,Edrophonium allergy
drug allergy,Xa5kF,Phenoxybenzamine allergy
drug allergy,Xa5kg,Pyridostigmine allergy
drug allergy,Xa5kG,Phentolamine allergy
drug allergy,Xa5kh,Neostigmine allergy
drug allergy,Xa5kH,Prazosin allergy
drug allergy,Xa5ki,Bethanechol allergy
drug allergy,Xa5kI,Terazosin allergy
drug allergy,Xa5kj,Carbachol allergy
drug allergy,Xa5kJ,Nicotine allergy
drug allergy,Xa5kk,Sympathomimetic allergy
drug allergy,Xa5kK,Calcium-channel blocker allergy
drug allergy,Xa5kl,Isoetharine hydrochloride allergy
drug allergy,Xa5kL,Lidoflazine allergy
drug allergy,Xa5km,Phenylpropanolamine hydrochloride allergy
drug allergy,Xa5kM,Nifedipine allergy
drug allergy,Xa5kn,Pseudoephedrine allergy
drug allergy,Xa5kN,Prenylamine allergy
drug allergy,Xa5ko,Alpha-adrenoceptor agonist allergy
drug allergy,Xa5kO,Isradipine allergy
drug allergy,Xa5kp,Oxedrine tartrate allergy
drug allergy,Xa5kP,Felodipine allergy
drug allergy,Xa5kq,Metaraminol allergy
drug allergy,Xa5kQ,Lacidipine allergy
drug allergy,Xa5kr,Methoxamine allergy
drug allergy,Xa5kR,Nimodipine allergy
drug allergy,Xa5ks,Naphazoline allergy
drug allergy,Xa5kS,Amlodipine allergy
drug allergy,Xa5kt,Noradrenaline allergy
drug allergy,Xa5kT,Diltiazem allergy
drug allergy,Xa5ku,Phenylephrine allergy
drug allergy,Xa5kU,Nicardipine allergy
drug allergy,Xa5kv,Xylometazoline allergy
drug allergy,Xa5kV,Verapamil allergy
drug allergy,Xa5kw,Beta-adrenoceptor agonist allergy
drug allergy,Xa5kW,Parasympathomimetic allergy
drug allergy,Xa5kx,Selective beta-2 adrenoceptor stimulants allergy
drug allergy,Xa5kX,Pilocarpine allergy
drug allergy,Xa5ky,Pirbuterol allergy
drug allergy,Xa5kY,Acetylcholine chloride allergy
drug allergy,Xa5kz,Salmeterol allergy
drug allergy,Xa5kZ,Methacholine allergy
drug allergy,Xa5l0,Salbutamol allergy
drug allergy,Xa5l1,Bambuterol allergy
drug allergy,Xa5l2,Fenoterol allergy
drug allergy,Xa5l3,Orciprenaline allergy
drug allergy,Xa5l4,Reproterol allergy
drug allergy,Xa5l5,Rimiterol allergy
drug allergy,Xa5l6,Ritodrine allergy
drug allergy,Xa5l7,Terbutaline allergy
drug allergy,Xa5l8,Tulobuterol allergy
drug allergy,Xa5l9,Selective beta-1 adrenoceptor stimulants allergy
drug allergy,Xa5la,Hyoscine allergy
drug allergy,Xa5lA,Dobutamine allergy
drug allergy,Xa5lb,Hyoscine hydrobromide allergy
drug allergy,Xa5lB,Dopexamine allergy
drug allergy,Xa5lc,Atropine allergy
drug allergy,Xa5lC,Isoprenaline allergy
drug allergy,Xa5ld,Trihexyphenidyl allergy
drug allergy,Xa5lD,Oral isoprenaline allergy
drug allergy,Xa5le,Benzatropine allergy
drug allergy,Xa5lE,Inhaled isoprenaline allergy
drug allergy,Xa5lf,Cyclopentolate allergy
drug allergy,Xa5lF,Parenteral isoprenaline allergy
drug allergy,Xa5lg,Glycopyrronium allergy
drug allergy,Xa5lG,Central alpha-adrenoceptor agonist allergy
drug allergy,Xa5lh,Homatropine allergy
drug allergy,Xa5lH,Methyldopa allergy
drug allergy,Xa5li,Ipratropium allergy
drug allergy,Xa5lI,Methyldopa and diuretic allergy
drug allergy,Xa5lj,Methixene allergy
drug allergy,Xa5lJ,Apraclonidine allergy
drug allergy,Xa5lk,Orphenadrine allergy
drug allergy,Xa5lK,Clonidine allergy
drug allergy,Xa5ll,Orphenadrine hydrochloride allergy
drug allergy,Xa5lL,Lofexidine allergy
drug allergy,Xa5lm,Orphenadrine citrate allergy
drug allergy,Xa5lM,Dipivefrine allergy
drug allergy,Xa5ln,Oxitropium allergy
drug allergy,Xa5lN,Dopamine allergy
drug allergy,Xa5lo,Oxybutynin allergy
drug allergy,Xa5lO,Ephedrine allergy
drug allergy,Xa5lp,Procyclidine allergy
drug allergy,Xa5lP,Oxymetazoline allergy
drug allergy,Xa5lq,Drug groups primarily affecting respiratory system allergy
drug allergy,Xa5lQ,Xamoterol allergy
drug allergy,Xa5lr,Dornase alfa allergy
drug allergy,Xa5lR,Anticholinergic allergy
drug allergy,Xa5ls,Mucolytics allergy
drug allergy,Xa5lS,Antimuscarinic allergy
drug allergy,Xa5lt,Tyloxapol allergy
drug allergy,Xa5lT,Belladonna alkaloids allergy
drug allergy,Xa5lu,Bromhexine hydrochloride allergy
drug allergy,Xa5lU,Piperidolate hydrochloride allergy
drug allergy,Xa5lv,Carbocisteine allergy
drug allergy,Xa5lV,Biperiden allergy
drug allergy,Xa5lw,Methylcysteine allergy
drug allergy,Xa5lW,Emepronium bromide allergy
drug allergy,Xa5lx,Acetylcysteine allergy
drug allergy,Xa5lX,Terodiline hydrochloride allergy
drug allergy,Xa5ly,Respiratory stimulant allergy
drug allergy,Xa5lY,Lachesine chloride allergy
drug allergy,Xa5lz,Nikethamide allergy
drug allergy,Xa5lZ,Tropicamide allergy
drug allergy,Xa5m0,Ethamivan allergy
drug allergy,Xa5m1,Doxapram allergy
drug allergy,Xa5m2,Respiratory surfactant allergy
drug allergy,Xa5m3,Beractant allergy
drug allergy,Xa5m4,Phospholipid fraction allergy
drug allergy,Xa5m5,Pumactant allergy
drug allergy,Xa5m6,Colfosceril allergy
drug allergy,Xa5m7,Antiallergenic drug allergy
drug allergy,Xa5m8,Topical antihistamine allergy
drug allergy,Xa5m9,H1 antihistamine allergy
drug allergy,Xa5ma,Mepyramine allergy
drug allergy,Xa5mA,Non-sedating antihistamine allergy
drug allergy,Xa5mb,Phenindamine allergy
drug allergy,Xa5mB,Astemizole allergy
drug allergy,Xa5mc,Pheniramine allergy
drug allergy,Xa5mC,Terfenadine allergy
drug allergy,Xa5md,Triprolidine allergy
drug allergy,Xa5mD,Acrivastine allergy
drug allergy,Xa5me,Alimemazine allergy
drug allergy,Xa5mE,Loratadine allergy
drug allergy,Xa5mf,Cromoglycate and related antiallergenic allergy
drug allergy,Xa5mF,Azelastine allergy
drug allergy,Xa5mg,Nedocromil allergy
drug allergy,Xa5mG,Cetirizine allergy
drug allergy,Xa5mh,Sodium cromoglicate allergy
drug allergy,Xa5mH,Sedating antihistamine allergy
drug allergy,Xa5mi,Ketotifen allergy
drug allergy,Xa5mI,Clemastine allergy
drug allergy,Xa5mj,Lodoxamide allergy
drug allergy,Xa5mJ,Mebhydrolin allergy
drug allergy,Xa5mk,Cough/decongestant preparation allergy
drug allergy,Xa5mK,Mequitazine allergy
drug allergy,Xa5ml,Cough suppressant allergy
drug allergy,Xa5mL,Oxatomide allergy
drug allergy,Xa5mm,Isoaminile allergy
drug allergy,Xa5mM,Cyclizine allergy
drug allergy,Xa5mn,Morphinian cough suppressant allergy
drug allergy,Xa5mN,Dimenhydrinate allergy
drug allergy,Xa5mo,Dextromethorphan hydrobromide allergy
drug allergy,Xa5mO,Meclozine hydrochloride allergy
drug allergy,Xa5mp,Noscapine allergy
drug allergy,Xa5mP,Antazoline allergy
drug allergy,Xa5mq,Pholcodine allergy
drug allergy,Xa5mQ,Promethazine allergy
drug allergy,Xa5mr,Compound cough suppressant allergy
drug allergy,Xa5mR,Azatadine allergy
drug allergy,Xa5ms,Proprietary decongestant allergy
drug allergy,Xa5mS,Brompheniramine allergy
drug allergy,Xa5mt,Expectorant allergy
drug allergy,Xa5mT,Chlorphenamine allergy
drug allergy,Xa5mu,Xanthine allergy
drug allergy,Xa5mU,Cinnarizine allergy
drug allergy,Xa5mv,Aminophylline allergy
drug allergy,Xa5mV,Cyproheptadine allergy
drug allergy,Xa5mw,Choline theophyllinate allergy
drug allergy,Xa5mW,Dimethindene allergy
drug allergy,Xa5mx,Theophylline allergy
drug allergy,Xa5mX,Diphenhydramine allergy
drug allergy,Xa5my,Bronchodilator preparations allergy
drug allergy,Xa5mY,Diphenylpyraline allergy
drug allergy,Xa5mz,Allergy to inhaled corticosteroids
drug allergy,Xa5mZ,Hydroxyzine allergy
drug allergy,Xa5n0,Drug groups and agents primarily acting on the skin allergy
drug allergy,Xa5n1,Topical dermatological preparation allergy
drug allergy,Xa5n2,Urea creams allergy
drug allergy,Xa5n3,Emollient bath additives allergy
drug allergy,Xa5n4,Dusting powders allergy
drug allergy,Xa5n5,Calamine allergy
drug allergy,Xa5n6,Coal tar allergy
drug allergy,Xa5n7,Coal tar scalp preparations allergy
drug allergy,Xa5n8,Coal tar bath preparations allergy
drug allergy,Xa5n9,Bufexamac allergy
drug allergy,Xa5na,Topical selenium allergy
drug allergy,Xa5nA,Dithranol allergy
drug allergy,Xa5nb,Crotamiton allergy
drug allergy,Xa5nB,Dithranol ointment allergy
drug allergy,Xa5nc,Topical salicylic acid allergy
drug allergy,Xa5nC,Dithranol cream allergy
drug allergy,Xa5nd,Topical abrasive agent allergy
drug allergy,Xa5nD,Dithranol paste allergy
drug allergy,Xa5ne,Benzoyl peroxide allergy
drug allergy,Xa5nE,Ichthammol allergy
drug allergy,Xa5nf,Silver nitrate allergy
drug allergy,Xa5nF,Calcipotriol allergy
drug allergy,Xa5ng,Oral dermatological agent allergy
drug allergy,Xa5nG,Sulphur allergy
drug allergy,Xa5nh,Gamolenic acid allergy
drug allergy,Xa5nH,Azelaic acid allergy
drug allergy,Xa5ni,Retinoid allergy
drug allergy,Xa5nI,Bromine complexes allergy
drug allergy,Xa5nj,Etretinate allergy
drug allergy,Xa5nJ,Podophyllum resin allergy
drug allergy,Xa5nk,Acitretin allergy
drug allergy,Xa5nK,Podophyllotoxin allergy
drug allergy,Xa5nl,Tretinoin allergy
drug allergy,Xa5nL,Sunscreening preparations allergy
drug allergy,Xa5nm,Isotretinoin allergy
drug allergy,Xa5nM,Camouflaging preparations allergy
drug allergy,Xa5nn,Drug groups primarily affect musculoskeletal system allergy
drug allergy,Xa5nN,Benzoic acid allergy
drug allergy,Xa5no,Drug for the treatment of gout allergy
drug allergy,Xa5nO,Desloughing agents allergy
drug allergy,Xa5np,Colchicum alkaloid allergy
drug allergy,Xa5nP,Aserbine allergy
drug allergy,Xa5nq,Colchicine allergy
drug allergy,Xa5nQ,Surgical tissue adhesive allergy
drug allergy,Xa5nr,Uricosuric agent allergy
drug allergy,Xa5nR,Enbucrilate allergy
drug allergy,Xa5ns,Probenecid allergy
drug allergy,Xa5nS,Collodion allergy
drug allergy,Xa5nt,Sulfinpyrazone allergy
drug allergy,Xa5nT,Counter irritants allergy
drug allergy,Xa5nu,Xanthine oxidase inhibitor allergy
drug allergy,Xa5nU,Emollient allergy
drug allergy,Xa5nv,Allopurinol allergy
drug allergy,Xa5nV,Poultices allergy
drug allergy,Xa5nw,Skeletal muscle relaxant allergy
drug allergy,Xa5nW,Anionic surfactant allergy
drug allergy,Xa5nx,Neuromuscular transmission drug allergy
drug allergy,Xa5nX,Alkali metal soap allergy
drug allergy,Xa5ny,Depolarising muscle relaxant allergy
drug allergy,Xa5nY,Astringent allergy
drug allergy,Xa5nz,Suxamethonium allergy
drug allergy,Xa5nZ,Aluminium astringent allergy
drug allergy,Xa5o0,Non-depolarising muscle relaxant allergy
drug allergy,Xa5o1,Mivacurium allergy
drug allergy,Xa5o2,Alcuronium allergy
drug allergy,Xa5o3,Atracurium allergy
drug allergy,Xa5o4,Gallamine allergy
drug allergy,Xa5o5,Pancuronium allergy
drug allergy,Xa5o6,Tubocurarine allergy
drug allergy,Xa5o7,Vecuronium allergy
drug allergy,Xa5o8,Rocuronium allergy
drug allergy,Xa5o9,Baclofen allergy
drug allergy,Xa5oa,Chelating agents and antidotes allergy
drug allergy,Xa5oA,Carisoprodol allergy
drug allergy,Xa5ob,Antidote allergy
drug allergy,Xa5oB,Methocarbamol allergy
drug allergy,Xa5oc,Ipecacuanha allergy
drug allergy,Xa5oC,Dantrolene allergy
drug allergy,Xa5od,Charcoal-activated allergy
drug allergy,Xa5oD,Gold allergy
drug allergy,Xa5oe,Sodium nitrite allergy
drug allergy,Xa5oE,Sodium aurothiomalate allergy
drug allergy,Xa5of,Sodium thiosulphate allergy
drug allergy,Xa5oF,Auranofin allergy
drug allergy,Xa5og,Digoxin-specific-antibody allergy
drug allergy,Xa5oG,Smooth muscle relaxant allergy
drug allergy,Xa5oh,Mesna allergy
drug allergy,Xa5oH,Papaverine allergy
drug allergy,Xa5oi,Benzodiazepine antagonist allergy
drug allergy,Xa5oI,Flavoxate allergy
drug allergy,Xa5oj,Flumazenil allergy
drug allergy,Xa5oJ,Drug groups prim used in obstets gynae.+ut disorders allergy
drug allergy,Xa5ok,Cholinesterase reactivator allergy
drug allergy,Xa5oK,Mifepristone allergy
drug allergy,Xa5ol,Pralidoxime allergy
drug allergy,Xa5oL,Non-ionic surfactant allergy
drug allergy,Xa5om,Hydrofluoric acid burn antidote allergy
drug allergy,Xa5oM,Nonoxinol allergy
drug allergy,Xa5on,Opioid antagonist allergy
drug allergy,Xa5oN,Octoxinol allergy
drug allergy,Xa5oo,Naltrexone allergy
drug allergy,Xa5oO,Prostaglandin allergy
drug allergy,Xa5op,Naloxone allergy
drug allergy,Xa5oP,A series prostaglandin allergy
drug allergy,Xa5oq,Protamine allergy
drug allergy,Xa5oQ,E series prostaglandin allergy
drug allergy,Xa5or,Antidotes for pesticides allergy
drug allergy,Xa5oR,Dinoprostone allergy
drug allergy,Xa5os,Fullers earth powder allergy
drug allergy,Xa5oS,Gemeprost allergy
drug allergy,Xa5ot,Bentonite powder allergy
drug allergy,Xa5oT,Alprostadil allergy
drug allergy,Xa5ou,Chelating agent allergy
drug allergy,Xa5oU,F series prostaglandin allergy
drug allergy,Xa5ov,Dimercaprol allergy
drug allergy,Xa5oV,Dinoprost allergy
drug allergy,Xa5ow,Desferrioxamine allergy
drug allergy,Xa5oW,Carboprost allergy
drug allergy,Xa5ox,Edetate allergy
drug allergy,Xa5oX,I series prostaglandin allergy
drug allergy,Xa5oy,Dicobalt edetate allergy
drug allergy,Xa5oY,Epoprostenol allergy
drug allergy,Xa5oz,Sodium calcium edetate allergy
drug allergy,Xa5oZ,Terpenes allergy
drug allergy,Xa5p0,Trisodium edetate allergy
drug allergy,Xa5p1,Disodium edetate allergy
drug allergy,Xa5p2,Trientine allergy
drug allergy,Xa5p3,Penicillamine allergy
drug allergy,Xa5p4,Alternative medicines allergy
drug allergy,Xa5p5,Homoeopathic medicine allergy
drug allergy,Xa5p6,Anthroposophical medicine allergy
drug allergy,Xa5p7,Herbal medicine allergy
drug allergy,Xa5p8,Miscellaneous fluids and solutions allergy
drug allergy,Xa5p9,Sodium hyaluronate allergy
drug allergy,Xa5pa,Paraffin-yellow soft allergy
drug allergy,Xa5pA,Glycine allergy
drug allergy,Xa5pb,Paraffin-white soft allergy
drug allergy,Xa5pB,Dialysis fluid allergy
drug allergy,Xa5pc,Liquid paraffin allergy
drug allergy,Xa5pC,Peritoneal dialysis solution allergy
drug allergy,Xa5pd,Silicone allergy
drug allergy,Xa5pD,Haemodialysis fluid allergy
drug allergy,Xa5pe,Dimethicone allergy
drug allergy,Xa5pE,Haemofiltration solution allergy
drug allergy,Xa5pf,Wool alcohol allergy
drug allergy,Xa5pF,Cardioplegia solution allergy
drug allergy,Xa5pg,Viscosity modifier allergy
drug allergy,Xa5pG,Miscellaneous topical preparations allergy
drug allergy,Xa5ph,Polyvinyl alcohol allergy
drug allergy,Xa5pH,Dimethyl-ether propane allergy
drug allergy,Xa5pi,Carbomer-940 allergy
drug allergy,Xa5pI,Citrate allergy
drug allergy,Xa5pj,Cellulose-derived viscosity modifier allergy
drug allergy,Xa5pJ,Haemorrhoid preparation allergy
drug allergy,Xa5pk,Hypromellose allergy
drug allergy,Xa5pK,Ear wax removal preparation allergy
drug allergy,Xa5pl,Hypromellose eye drops allergy
drug allergy,Xa5pL,Topical potassium allergy
drug allergy,Xa5pm,Hydroxyethylcellulose allergy
drug allergy,Xa5pM,Topical zinc allergy
drug allergy,Xa5pn,Hydroxypropylmethylcellulose allergy
drug allergy,Xa5pN,Oropharyngeal preparations allergy
drug allergy,Xa5po,Carmellose allergy
drug allergy,Xa5pO,Artificial saliva allergy
drug allergy,Xa5pp,Anti-infectives allergy
drug allergy,Xa5pP,Allergy to bases and inactive substances
drug allergy,Xa5pq,Antifungal drug allergy
drug allergy,Xa5pQ,Fixed oil allergy
drug allergy,Xa5pr,Flucytosine allergy
drug allergy,Xa5pR,Olive oil allergy
drug allergy,Xa5ps,Terbinafine allergy
drug allergy,Xa5pS,Arachis oil allergy
drug allergy,Xa5pt,Nitrophenol allergy
drug allergy,Xa5pT,Castor oil allergy
drug allergy,Xa5pu,Tolnaftate allergy
drug allergy,Xa5pU,Glycerol/glycol/macrogol allergy
drug allergy,Xa5pv,Amorolfine allergy
drug allergy,Xa5pV,Glycerol allergy
drug allergy,Xa5pw,Antibiotic antifungal allergy
drug allergy,Xa5pW,Lubricant allergy
drug allergy,Xa5px,Griseofulvin allergy
drug allergy,Xa5pX,Base allergy
drug allergy,Xa5py,Amphotericin allergy
drug allergy,Xa5pY,Barrier preparation allergy
drug allergy,Xa5pz,Natamycin allergy
drug allergy,Xa5pZ,Paraffin allergy
drug allergy,Xa5q0,Nystatin allergy
drug allergy,Xa5q1,Azole antifungal allergy
drug allergy,Xa5q2,Undecenoates allergy
drug allergy,Xa5q3,Imidazole antifungal allergy
drug allergy,Xa5q4,Clotrimazole allergy
drug allergy,Xa5q5,Fenticonazole allergy
drug allergy,Xa5q6,Tioconazole allergy
drug allergy,Xa5q7,Econazole allergy
drug allergy,Xa5q8,Isoconazole allergy
drug allergy,Xa5q9,Sulconazole allergy
drug allergy,Xa5qa,Pyrimethamine allergy
drug allergy,Xa5qA,Ketoconazole allergy
drug allergy,Xa5qb,Aminoquinoline antimalarial allergy
drug allergy,Xa5qB,Miconazole allergy
drug allergy,Xa5qc,Amodiaquine allergy
drug allergy,Xa5qC,Triazole antifungals allergy
drug allergy,Xa5qd,Primaquine allergy
drug allergy,Xa5qD,Fluconazole allergy
drug allergy,Xa5qe,Mefloquine allergy
drug allergy,Xa5qE,Itraconazole allergy
drug allergy,Xa5qf,Hydroxychloroquine allergy
drug allergy,Xa5qF,Antiviral drug allergy
drug allergy,Xa5qg,Chloroquine allergy
drug allergy,Xa5qG,Inosine pranobex allergy
drug allergy,Xa5qh,Biguanide antimalarial allergy
drug allergy,Xa5qH,Zidovudine allergy
drug allergy,Xa5qi,Proguanil allergy
drug allergy,Xa5qI,Ganciclovir allergy
drug allergy,Xa5qj,Cinchona antimalarial allergy
drug allergy,Xa5qJ,Famciclovir allergy
drug allergy,Xa5qk,Quinine allergy
drug allergy,Xa5qK,Didanosine allergy
drug allergy,Xa5ql,Halofantrine allergy
drug allergy,Xa5qL,Zalcitabine allergy
drug allergy,Xa5qm,Mepacrine allergy
drug allergy,Xa5qM,Valaciclovir allergy
drug allergy,Xa5qn,Lactobacill acidophil vaccine allergy
drug allergy,Xa5qN,Interferons allergy
drug allergy,Xa5qo,Anti-infective nasal preparations allergy
drug allergy,Xa5qO,Human interferon gamma-1b allergy
drug allergy,Xa5qp,Disinfectants and cleansers allergy
drug allergy,Xa5qP,Interferon-A-2a allergy
drug allergy,Xa5qq,Acetic acid allergy
drug allergy,Xa5qQ,Interferon-A-2b allergy
drug allergy,Xa5qr,Hydragaphen allergy
drug allergy,Xa5qR,Interferon-A-N1 allergy
drug allergy,Xa5qs,Polynoxylin allergy
drug allergy,Xa5qS,Ribavirin allergy
drug allergy,Xa5qt,Hexetidine allergy
drug allergy,Xa5qT,Trifluorothymidine allergy
drug allergy,Xa5qu,Sodium perborate allergy
drug allergy,Xa5qU,Foscarnet allergy
drug allergy,Xa5qv,Chlorinated solutions allergy
drug allergy,Xa5qV,Vidarabine allergy
drug allergy,Xa5qw,Potassium permanganate allergy
drug allergy,Xa5qW,Aciclovir allergy
drug allergy,Xa5qx,Bismuth subnitrate and iodoform paste impregn gauze allergy
drug allergy,Xa5qX,Idoxuridine allergy
drug allergy,Xa5qy,Phenolics allergy
drug allergy,Xa5qY,Idoxuridine in dimethylsulphoxide allergy
drug allergy,Xa5qz,Thymol allergy
drug allergy,Xa5qZ,Antimalarial drug allergy
drug allergy,Xa5r0,Chlorinated phenol disinfectant allergy
drug allergy,Xa5r1,Chloroxylenol allergy
drug allergy,Xa5r2,Hexachlorophene allergy
drug allergy,Xa5r3,Triclosan allergy
drug allergy,Xa5r4,Phenol allergy
drug allergy,Xa5r5,Alcoholic disinfectant allergy
drug allergy,Xa5r6,Alcohol products allergy
drug allergy,Xa5r7,Industrial methylated spirit allergy
drug allergy,Xa5r8,Aldehyde disinfectant allergy
drug allergy,Xa5r9,Glutaraldehyde allergy
drug allergy,Xa5ra,Anthelmintics allergy
drug allergy,Xa5rA,Formaldehyde and related compounds allergy
drug allergy,Xa5rb,Piperazine allergy
drug allergy,Xa5rB,Noxythiolin allergy
drug allergy,Xa5rc,Pyrantel allergy
drug allergy,Xa5rC,Formaldehyde allergy
drug allergy,Xa5rd,Niclosamide allergy
drug allergy,Xa5rD,Amidine disinfectant allergy
drug allergy,Xa5re,Bephenium allergy
drug allergy,Xa5rE,Propamidine isethionate allergy
drug allergy,Xa5rf,Diethylcarbamazine allergy
drug allergy,Xa5rF,Dibrompropamidine isethionate allergy
drug allergy,Xa5rg,Benzimidazole anthelmintic allergy
drug allergy,Xa5rG,Biguanide disinfectant allergy
drug allergy,Xa5rh,Mebendazole allergy
drug allergy,Xa5rH,Chlorhexidine allergy
drug allergy,Xa5ri,Albendazole allergy
drug allergy,Xa5rI,Chlorhexidine hydrochloride and neomycin sulphate allergy
drug allergy,Xa5rj,Tiabendazole allergy
drug allergy,Xa5rJ,Borate allergy
drug allergy,Xa5rk,Antibacterial drug allergy
drug allergy,Xa5rK,Boric acid allergy
drug allergy,Xa5rl,Aminoglycosides allergy
drug allergy,Xa5rL,Cationic surfactant allergy
drug allergy,Xa5rm,Amikacin allergy
drug allergy,Xa5rM,Quaternary ammonium surfactant allergy
drug allergy,Xa5rn,Kanamycin allergy
drug allergy,Xa5rN,Cetrimide allergy
drug allergy,Xa5ro,Netilmicin allergy
drug allergy,Xa5rO,Benzalkonium allergy
drug allergy,Xa5rp,Streptomycin allergy
drug allergy,Xa5rP,Domiphen allergy
drug allergy,Xa5rq,Framycetin allergy
drug allergy,Xa5rQ,Quaternary pyridinium surfactant allergy
drug allergy,Xa5rr,Neomycin allergy
drug allergy,Xa5rR,Cetylpyridinium allergy
drug allergy,Xa5rs,Gentamicin allergy
drug allergy,Xa5rS,Quaternary quinolinium surfactant allergy
drug allergy,Xa5rt,Tobramycin allergy
drug allergy,Xa5rT,Dequalinium allergy
drug allergy,Xa5ru,Macrolide allergy
drug allergy,Xa5rU,Disinfectant dye allergy
drug allergy,Xa5rv,Erythromycin allergy
drug allergy,Xa5rV,Acridine azo disinfectant dye allergy
drug allergy,Xa5rw,Clarithromycin allergy
drug allergy,Xa5rW,Triphenylmethane azo disinfectant dye allergy
drug allergy,Xa5rx,Azithromycin allergy
drug allergy,Xa5rX,Crystal violet allergy
drug allergy,Xa5ry,Sodium fusidate allergy
drug allergy,Xa5rY,Brilliant green allergy
drug allergy,Xa5rz,Spectinomycin allergy
drug allergy,Xa5rZ,Hydrogen peroxide allergy
drug allergy,Xa5s0,Vancomycin allergy
drug allergy,Xa5s1,Teicoplanin allergy
drug allergy,Xa5s2,Trimethoprim allergy
drug allergy,Xa5s3,Nitrofurantoin allergy
drug allergy,Xa5s4,Methenamine hippurate allergy
drug allergy,Xa5s5,Mupirocin allergy
drug allergy,Xa5s6,Nitrofurazone allergy
drug allergy,Xa5s7,Fusidic acid allergy
drug allergy,Xa5s8,4-quinolones allergy
drug allergy,Xa5s9,Acrosoxacin allergy
drug allergy,Xa5sa,Bacampicillin allergy
drug allergy,Xa5sA,Cinoxacin allergy
drug allergy,Xa5sb,Talampicillin allergy
drug allergy,Xa5sB,Nalidixic acid allergy
drug allergy,Xa5sc,Antipseudomonal penicillins allergy
drug allergy,Xa5sC,Ciprofloxacin allergy
drug allergy,Xa5sd,Temocillin allergy
drug allergy,Xa5sD,Enoxacin allergy
