Disease,Read code,Term,weight
cancer,B305.,Malignant neoplasm of carpal bones,2
cancer,B3050,Malignant neoplasm of carpal bone - scaphoid,2
cancer,B3051,Malignant neoplasm of carpal bone - lunate,2
cancer,B3052,Malignant neoplasm of carpal bone - triquetrum,2
cancer,B3053,Malignant neoplasm of carpal bone - pisiform,2
cancer,B3054,Malignant neoplasm of carpal bone - trapezium,2
cancer,B3055,Malignant neoplasm of carpal bone - trapezoid,2
cancer,B3056,Malignant neoplasm of carpal bone - capitate,2
cancer,B3057,Malignant neoplasm of carpal bone - hamate,2
cancer,B3058,Malignant neoplasm of first metacarpal bone,2
cancer,B3059,Malignant neoplasm of second metacarpal bone,2
cancer,B305A,Malignant neoplasm of third metacarpal bone,2
cancer,B305C,Malignant neoplasm of fifth metacarpal bone,2
cancer,B305D,Malignant neoplasm of phalanges of hand,2
cancer,B305z,Malignant neoplasm of hand bones NOS,2
cancer,B306.,"Malignant neoplasm of pelvic bones, sacrum and coccyx",2
cancer,B3060,Malignant neoplasm of ilium,2
cancer,B3061,Malignant neoplasm of ischium,2
cancer,B3062,Malignant neoplasm of pubis,2
cancer,B3063,Malignant neoplasm of sacral vertebra,2
cancer,B3064,Malignant neoplasm of coccygeal vertebra,2
cancer,B3065,Malignant sacral teratoma,2
cancer,B306z,"Malignant neoplasm of pelvis, sacrum or coccyx NOS",2
cancer,B307.,Malignant neoplasm of long bones of leg,2
cancer,B3070,Malignant neoplasm of femur,2
cancer,B3071,Malignant neoplasm of fibula,2
cancer,B3072,Malignant neoplasm of tibia,2
cancer,B307z,Malignant neoplasm of long bones of leg NOS,2
cancer,B308.,Malignant neoplasm of short bones of leg,2
cancer,B3080,Malignant neoplasm of patella,2
cancer,B3081,Malignant neoplasm of talus,2
cancer,B3082,Malignant neoplasm of calcaneum,2
cancer,B3083,Malignant neoplasm of medial cuneiform,2
cancer,B3084,Malignant neoplasm of intermediate cuneiform,2
cancer,B3085,Malignant neoplasm of lateral cuneiform,2
cancer,B3086,Malignant neoplasm of cuboid,2
cancer,B3087,Malignant neoplasm of navicular,2
cancer,B3088,Malignant neoplasm of first metatarsal bone,2
cancer,B3089,Malignant neoplasm of second metatarsal bone,2
cancer,B308A,Malignant neoplasm of third metatarsal bone,2
cancer,B308C,Malignant neoplasm of fifth metatarsal bone,2
cancer,B308D,Malignant neoplasm of phalanges of foot,2
cancer,B308z,Malignant neoplasm of short bones of leg NOS,2
cancer,B309.,"Malignant neoplasm, overlap les bone and artic cart of limbs",2
cancer,B30W.,Malignant neoplasm/overlap lesion/bone cartilage,2
cancer,B30X.,"Malignant neoplasm/bones cartilage/limb,unspfd",2
cancer,B30z.,Malignant neoplasm of bone and articular cartilage NOS,2
cancer,B30z0,Osteosarcoma,2
cancer,B31..,Malignant neoplasm of connective and other soft tissue,2
cancer,B310.,"Malig neop of connective and soft tissue head, face and neck",2
cancer,B3100,Malignant neoplasm of soft tissue of head,2
cancer,B3101,Malignant neoplasm of soft tissue of face,2
cancer,B3102,Malignant neoplasm of soft tissue of neck,2
cancer,B3103,Malignant neoplasm of cartilage of ear,2
cancer,B3104,Malignant neoplasm of tarsus of eyelid,2
cancer,B3105,Malignant neoplasm soft tissues of cervical spine,2
cancer,B310z,"Malig neop connective and soft tissue head, face, neck NOS",2
cancer,B311.,Malig neop connective and soft tissue upper limb/shoulder,2
cancer,B3110,Malignant neoplasm of connective and soft tissue of shoulder,2
cancer,B3111,"Malignant neoplasm of connective and soft tissue, upper arm",2
cancer,B3112,Malignant neoplasm of connective and soft tissue of fore-arm,2
cancer,B3113,Malignant neoplasm of connective and soft tissue of hand,2
cancer,B3114,Malignant neoplasm of connective and soft tissue of finger,2
cancer,B3115,Malignant neoplasm of connective and soft tissue of thumb,2
cancer,B311z,Malig neop connective soft tissue upper limb/shoulder NOS,2
cancer,B312.,Malig neop of connective and soft tissue of hip and leg,2
cancer,B3120,Malignant neoplasm of connective and soft tissue of hip,2
cancer,B3121,Malig neop of connective and soft tissue thigh and upper leg,2
cancer,B3122,Malig neop connective and soft tissue of popliteal space,2
cancer,B3123,Malig neop of connective and soft tissue of lower leg,2
cancer,B3124,Malignant neoplasm of connective and soft tissue of foot,2
cancer,B3125,Malignant neoplasm of connective and soft tissue of toe,2
cancer,B3126,Malig neop of connective and soft tissue of great toe,2
cancer,B312z,Malig neop connective and soft tissue hip and leg NOS,2
cancer,B313.,Malignant neoplasm of connective and soft tissue of thorax,2
cancer,B3130,Malignant neoplasm of connective and soft tissue of axilla,2
cancer,B3131,Malignant neoplasm of diaphragm,2
cancer,B3132,Malignant neoplasm of great vessels,2
cancer,B3133,Malig neoplasm of connective and soft tissues of thor spine,2
cancer,B313z,Malig neop of connective and soft tissue of thorax NOS,2
cancer,B314.,Malignant neoplasm of connective and soft tissue of abdomen,2
cancer,B3140,Malig neop of connective and soft tissue of abdominal wall,2
cancer,B3141,Malig neoplasm of connective and soft tissues of lumb spine,2
cancer,B314z,Malig neop of connective and soft tissue of abdomen NOS,2
cancer,B315.,Malignant neoplasm of connective and soft tissue of pelvis,2
cancer,B3150,Malignant neoplasm of connective and soft tissue of buttock,2
cancer,B3151,Malig neop of connective and soft tissue of inguinal region,2
cancer,B3152,Malignant neoplasm of connective and soft tissue of perineum,2
cancer,B3153,Malig neopl of connective and soft tissue - sacrum or coccyx,2
cancer,B315z,Malig neop of connective and soft tissue of pelvis NOS,2
cancer,B316.,Malig neop of connective and soft tissue trunk unspecified,2
cancer,B317.,"Malignant neoplasm, overlap lesion connective & soft tissue",2
cancer,B31y.,Malig neop connective and soft tissue other specified site,2
cancer,B31z.,"Malignant neoplasm of connective and soft tissue, site NOS",2
cancer,B31z0,Kaposi's sarcoma of soft tissue,2
cancer,B32..,Malignant melanoma of skin,2
cancer,B320.,Malignant melanoma of lip,2
cancer,B321.,Malignant melanoma of eyelid including canthus,2
cancer,B322.,Malignant melanoma of ear and external auricular canal,2
cancer,B3220,Malignant melanoma of auricle (ear),2
cancer,B3221,Malignant melanoma of external auditory meatus,2
cancer,B322z,Malignant melanoma of ear and external auricular canal NOS,2
cancer,B323.,[X]Malignant melanoma of other parts of face,2
cancer,B323.,Malignant melanoma of other and unspecified parts of face,2
cancer,B3230,Malignant melanoma of external surface of cheek,2
cancer,B3231,Malignant melanoma of chin,2
cancer,B3232,Malignant melanoma of eyebrow,2
cancer,B3233,Malignant melanoma of forehead,2
cancer,B3234,Malignant melanoma of external surface of nose,2
cancer,B3235,Malignant melanoma of temple,2
cancer,B323z,Malignant melanoma of face NOS,2
cancer,B324.,Malignant melanoma of scalp and neck,2
cancer,B3240,Malignant melanoma of scalp,2
cancer,B3241,Malignant melanoma of neck,2
cancer,B324z,Malignant melanoma of scalp and neck NOS,2
cancer,B325.,Malignant melanoma of trunk (excluding scrotum),2
cancer,B3250,Malignant melanoma of axilla,2
cancer,B3251,Malignant melanoma of breast,2
cancer,B3252,Malignant melanoma of buttock,2
cancer,B3253,Malignant melanoma of groin,2
cancer,B3254,Malignant melanoma of perianal skin,2
cancer,B3255,Malignant melanoma of perineum,2
cancer,B3256,Malignant melanoma of umbilicus,2
cancer,B3257,Malignant melanoma of back,2
cancer,B3258,Malignant melanoma of chest wall,2
cancer,B325z,"Malignant melanoma of trunk, excluding scrotum, NOS",2
cancer,B326.,Malignant melanoma of upper limb and shoulder,2
cancer,B3260,Malignant melanoma of shoulder,2
cancer,B3261,Malignant melanoma of upper arm,2
cancer,B3262,Malignant melanoma of fore-arm,2
cancer,B3263,Malignant melanoma of hand,2
cancer,B3264,Malignant melanoma of finger,2
cancer,B3265,Malignant melanoma of thumb,2
cancer,B326z,Malignant melanoma of upper limb or shoulder NOS,2
cancer,B327.,Malignant melanoma of lower limb and hip,2
cancer,B3270,Malignant melanoma of hip,2
cancer,B3271,Malignant melanoma of thigh,2
cancer,B3272,Malignant melanoma of knee,2
cancer,B3273,Malignant melanoma of popliteal fossa area,2
cancer,B3274,Malignant melanoma of lower leg,2
cancer,B3275,Malignant melanoma of ankle,2
cancer,B3276,Malignant melanoma of heel,2
cancer,B3277,Malignant melanoma of foot,2
cancer,B3278,Malignant melanoma of toe,2
cancer,B3279,Malignant melanoma of great toe,2
cancer,B327z,Malignant melanoma of lower limb or hip NOS,2
cancer,B32y.,Malignant melanoma of other specified skin site,2
cancer,B32y0,Overlapping malignant melanoma of skin,2
cancer,B32z.,Malignant melanoma of skin NOS,2
cancer,B33..,Epithelioma,2
cancer,B330.,Malignant neoplasm of skin of lip,2
cancer,B331.,Malignant neoplasm of eyelid including canthus,2
cancer,B3310,Malignant neoplasm of canthus,2
cancer,B3311,Malignant neoplasm of upper eyelid,2
cancer,B3312,Malignant neoplasm of lower eyelid,2
cancer,B332.,Malignant neoplasm skin of ear and external auricular canal,2
cancer,B3320,Malignant neoplasm of skin of auricle (ear),2
cancer,B3321,Malignant neoplasm of skin of external auditory meatus,2
cancer,B3322,Malignant neoplasm of pinna NEC,2
cancer,B332z,Malig neop skin of ear and external auricular canal NOS,2
cancer,B333.,Malignant neoplasm skin of other and unspecified parts face,2
cancer,B3330,"Malignant neoplasm of skin of cheek, external",2
cancer,B3331,Malignant neoplasm of skin of chin,2
cancer,B3332,Malignant neoplasm of skin of eyebrow,2
cancer,B3333,Malignant neoplasm of skin of forehead,2
cancer,B3334,Malignant neoplasm of skin of nose (external),2
cancer,B3335,Malignant neoplasm of skin of temple,2
cancer,B333z,Malignant neoplasm skin other and unspec part of face NOS,2
cancer,B334.,Malignant neoplasm of scalp and skin of neck,2
cancer,B3340,Malignant neoplasm of scalp,2
cancer,B3341,Malignant neoplasm of skin of neck,2
cancer,B334z,Malignant neoplasm of scalp or skin of neck NOS,2
cancer,B335.,"Malignant neoplasm of skin of trunk, excluding scrotum",2
cancer,B3350,Malignant neoplasm of skin of axillary fold,2
cancer,B3351,"Malignant neoplasm of skin of chest, excluding breast",2
cancer,B3352,Malignant neoplasm of skin of breast,2
cancer,B3353,Malignant neoplasm of skin of abdominal wall,2
cancer,B3354,Malignant neoplasm of skin of umbilicus,2
cancer,B3355,Malignant neoplasm of skin of groin,2
cancer,B3356,Malignant neoplasm of skin of perineum,2
cancer,B3357,Malignant neoplasm of skin of back,2
cancer,B3358,Malignant neoplasm of skin of buttock,2
cancer,B3359,Malignant neoplasm of perianal skin,2
cancer,B335A,Malignant neoplasm of skin of scapular region,2
cancer,B335z,"Malignant neoplasm of skin of trunk, excluding scrotum, NOS",2
cancer,B336.,Malignant neoplasm of skin of upper limb and shoulder,2
cancer,B3360,Malignant neoplasm of skin of shoulder,2
cancer,B3361,Malignant neoplasm of skin of upper arm,2
cancer,B3362,Malignant neoplasm of skin of fore-arm,2
cancer,B3363,Malignant neoplasm of skin of hand,2
cancer,B3364,Malignant neoplasm of skin of finger,2
cancer,B3365,Malignant neoplasm of skin of thumb,2
cancer,B336z,Malignant neoplasm of skin of upper limb or shoulder NOS,2
cancer,B337.,Malignant neoplasm of skin of lower limb and hip,2
cancer,B3370,Malignant neoplasm of skin of hip,2
cancer,B3371,Malignant neoplasm of skin of thigh,2
cancer,B3372,Malignant neoplasm of skin of knee,2
cancer,B3373,Malignant neoplasm of skin of popliteal fossa area,2
cancer,B3374,Malignant neoplasm of skin of lower leg,2
cancer,B3375,Malignant neoplasm of skin of ankle,2
cancer,B3376,Malignant neoplasm of skin of heel,2
cancer,B3377,Malignant neoplasm of skin of foot,2
cancer,B3378,Malignant neoplasm of skin of toe,2
cancer,B3379,Malignant neoplasm of skin of great toe,2
cancer,B337z,Malignant neoplasm of skin of lower limb or hip NOS,2
cancer,B339.,Dermatofibrosarcoma protuberans,2
cancer,B33X.,Malignant neoplasm overlapping lesion of skin,2
cancer,B33y.,Malignant neoplasm of other specified skin sites,2
cancer,B33z.,Malignant neoplasm of skin NOS,2
cancer,B33z0,Kaposi's sarcoma of skin,2
cancer,B34..,Malignant neoplasm of female breast,2
cancer,B340.,Malignant neoplasm of nipple and areola of female breast,2
cancer,B3400,Malignant neoplasm of nipple of female breast,2
cancer,B3401,Malignant neoplasm of areola of female breast,2
cancer,B340z,Malignant neoplasm of nipple or areola of female breast NOS,2
cancer,B341.,Malignant neoplasm of central part of female breast,2
cancer,B342.,Malignant neoplasm of upper-inner quadrant of female breast,2
cancer,B343.,Malignant neoplasm of lower-inner quadrant of female breast,2
cancer,B344.,Malignant neoplasm of upper-outer quadrant of female breast,2
cancer,B345.,Malignant neoplasm of lower-outer quadrant of female breast,2
cancer,B346.,Malignant neoplasm of axillary tail of female breast,2
cancer,B347.,"Malignant neoplasm, overlapping lesion of breast",2
cancer,B34y.,Malignant neoplasm of other site of female breast,2
cancer,B34y0,Malignant neoplasm of ectopic site of female breast,2
cancer,B34yz,Malignant neoplasm of other site of female breast NOS,2
cancer,B34z.,Malignant neoplasm of female breast NOS,2
cancer,B35..,Malignant neoplasm of male breast,2
cancer,B350.,Malignant neoplasm of nipple and areola of male breast,2
cancer,B3500,Malignant neoplasm of nipple of male breast,2
cancer,B3501,Malignant neoplasm of areola of male breast,2
cancer,B350z,Malignant neoplasm of nipple or areola of male breast NOS,2
cancer,B35z.,Malignant neoplasm of other site of male breast,2
cancer,B35z0,Malignant neoplasm of ectopic site of male breast,2
cancer,B35zz,Malignant neoplasm of male breast NOS,2
cancer,B3y..,"Malig neop of bone, connective tissue, skin and breast OS",2
cancer,B3z..,"Malig neop of bone, connective tissue, skin and breast NOS",2
cancer,B4...,Malignant neoplasm of genitourinary organ,2
cancer,B40..,"Malignant neoplasm of uterus, part unspecified",2
cancer,B41..,Malignant neoplasm of cervix uteri,2
cancer,B410.,Malignant neoplasm of endocervix,2
cancer,B4100,Malignant neoplasm of endocervical canal,2
cancer,B4101,Malignant neoplasm of endocervical gland,2
cancer,B410z,Malignant neoplasm of endocervix NOS,2
cancer,B411.,Malignant neoplasm of exocervix,2
cancer,B412.,"Malignant neoplasm, overlapping lesion of cervix uteri",2
cancer,B41y.,Malignant neoplasm of other site of cervix,2
cancer,B41y0,Malignant neoplasm of cervical stump,2
cancer,B41y1,Malignant neoplasm of squamocolumnar junction of cervix,2
cancer,B41yz,Malignant neoplasm of other site of cervix NOS,2
cancer,B41z.,Malignant neoplasm of cervix uteri NOS,2
cancer,B42..,Malignant neoplasm of placenta,2
cancer,B420.,Choriocarcinoma,2
cancer,B43..,Malignant neoplasm of body of uterus,2
cancer,B430.,"Malignant neoplasm of corpus uteri, excluding isthmus",2
cancer,B4300,Malignant neoplasm of cornu of corpus uteri,2
cancer,B4301,Malignant neoplasm of fundus of corpus uteri,2
cancer,B4302,Malignant neoplasm of endometrium,2
cancer,B4303,Malignant neoplasm of myometrium of corpus uteri,2
cancer,B430z,Malignant neoplasm of corpus uteri NOS,2
cancer,B431.,Malignant neoplasm of isthmus of uterine body,2
cancer,B4310,Malignant neoplasm of lower uterine segment,2
cancer,B431z,Malignant neoplasm of isthmus of uterine body NOS,2
cancer,B432.,Malignant neoplasm of overlapping lesion of corpus uteri,2
cancer,B43y.,Malignant neoplasm of other site of uterine body,2
cancer,B43z.,Malignant neoplasm of body of uterus NOS,2
cancer,B44..,Malignant neoplasm of ovary and other uterine adnexa,2
cancer,B440.,Malignant neoplasm of ovary,2
cancer,B441.,Malignant neoplasm of fallopian tube,2
cancer,B442.,Malignant neoplasm of broad ligament,2
cancer,B443.,Malignant neoplasm of parametrium,2
cancer,B444.,Malignant neoplasm of round ligament,2
cancer,B44y.,Malignant neoplasm of other site of uterine adnexa,2
cancer,B44z.,Malignant neoplasm of uterine adnexa NOS,2
cancer,B45..,Malig neop of other and unspecified female genital organs,2
cancer,B450.,Malignant neoplasm of vagina,2
cancer,B4500,Malignant neoplasm of Gartner's duct,2
cancer,B4501,Malignant neoplasm of vaginal vault,2
cancer,B450z,Malignant neoplasm of vagina NOS,2
cancer,B451.,Malignant neoplasm of labia majora,2
cancer,B4510,Malignant neoplasm of greater vestibular (Bartholin's) gland,2
cancer,B451z,Malignant neoplasm of labia majora NOS,2
cancer,B452.,Malignant neoplasm of labia minora,2
cancer,B453.,Malignant neoplasm of clitoris,2
cancer,B454.,Malignant neoplasm of vulva unspecified,2
cancer,B45X.,Malignant neoplasm/overlapping lesion/feml genital organs,2
cancer,B45y.,Malignant neoplasm of other specified female genital organ,2
cancer,B45y0,Malignant neoplasm of overlapping lesion of vulva,2
cancer,B45z.,Malignant neoplasm of female genital organ NOS,2
cancer,B46..,Malignant neoplasm of prostate,2
cancer,B47..,Malignant neoplasm of testis,2
cancer,B470.,Malignant neoplasm of undescended testis,2
cancer,B4700,Malignant neoplasm of ectopic testis,2
cancer,B4701,Malignant neoplasm of retained testis,2
cancer,B4702,Seminoma of undescended testis,2
cancer,B4703,Teratoma of undescended testis,2
cancer,B470z,Malignant neoplasm of undescended testis NOS,2
cancer,B471.,Malignant neoplasm of descended testis,2
cancer,B4710,Seminoma of descended testis,2
cancer,B4711,Teratoma of descended testis,2
cancer,B47z.,Malignant neoplasm of testis NOS,2
cancer,B48..,Malignant neoplasm of penis and other male genital organs,2
cancer,B480.,Malignant neoplasm of prepuce (foreskin),2
cancer,B481.,Malignant neoplasm of glans penis,2
cancer,B482.,Malignant neoplasm of body of penis,2
cancer,B483.,"Malignant neoplasm of penis, part unspecified",2
cancer,B484.,Malignant neoplasm of epididymis,2
cancer,B485.,Malignant neoplasm of spermatic cord,2
cancer,B486.,Malignant neoplasm of scrotum,2
cancer,B487.,"Malignant neoplasm, overlapping lesion of penis",2
cancer,B48y.,Malignant neoplasm of other male genital organ,2
cancer,B48y0,Malignant neoplasm of seminal vesicle,2
cancer,B48y1,Malignant neoplasm of tunica vaginalis,2
cancer,B48y2,"Malignant neoplasm, overlapping lesion male genital orgs",2
cancer,B48yz,Malignant neoplasm of other male genital organ NOS,2
cancer,B48z.,Malignant neoplasm of penis and other male genital organ NOS,2
cancer,B49..,Malignant neoplasm of urinary bladder,2
cancer,B490.,Malignant neoplasm of trigone of urinary bladder,2
cancer,B491.,Malignant neoplasm of dome of urinary bladder,2
cancer,B492.,Malignant neoplasm of lateral wall of urinary bladder,2
cancer,B493.,Malignant neoplasm of anterior wall of urinary bladder,2
cancer,B494.,Malignant neoplasm of posterior wall of urinary bladder,2
cancer,B495.,Malignant neoplasm of bladder neck,2
cancer,B496.,Malignant neoplasm of ureteric orifice,2
cancer,B497.,Malignant neoplasm of urachus,2
cancer,B49y.,Malignant neoplasm of other site of urinary bladder,2
cancer,B49y0,"Malignant neoplasm, overlapping lesion of bladder",2
cancer,B49z.,Malignant neoplasm of urinary bladder NOS,2
cancer,B4A..,Malig neop of kidney and other unspecified urinary organs,2
cancer,B4A0.,Malignant neoplasm of kidney parenchyma,2
cancer,B4A00,Hypernephroma,2
cancer,B4A1.,Malignant neoplasm of renal pelvis,2
cancer,B4A10,Malignant neoplasm of renal calyces,2
cancer,B4A11,Malignant neoplasm of ureteropelvic junction,2
cancer,B4A1z,Malignant neoplasm of renal pelvis NOS,2
cancer,B4A2.,Malignant neoplasm of ureter,2
cancer,B4A3.,Malignant neoplasm of urethra,2
cancer,B4A4.,Malignant neoplasm of paraurethral glands,2
cancer,B4Ay.,Malignant neoplasm of other urinary organs,2
cancer,B4Ay0,Malignant neoplasm of overlapping lesion of urinary organs,2
cancer,B4Az.,Malignant neoplasm of kidney or urinary organs NOS,2
cancer,B4y..,Malignant neoplasm of genitourinary organ OS,2
cancer,B4z..,Malignant neoplasm of genitourinary organ NOS,2
cancer,B5...,Malignant neoplasm of other and unspecified sites,2
cancer,B50..,Malignant neoplasm of eye,2
cancer,B500.,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid",2
cancer,B5000,Malignant neoplasm of ciliary body,2
cancer,B5001,Malignant neoplasm of iris,2
cancer,B5002,Malignant neoplasm of crystalline lens,2
cancer,B5003,Malignant neoplasm of sclera,2
cancer,B500z,Malignant neoplasm of eyeball NOS,2
cancer,B501.,Malignant neoplasm of orbit,2
cancer,B5010,Malignant neoplasm of connective tissue of orbit,2
cancer,B5011,Malignant neoplasm of extraocular muscle of orbit,2
cancer,B501z,Malignant neoplasm of orbit NOS,2
cancer,B502.,Malignant neoplasm of lacrimal gland,2
cancer,B503.,Malignant neoplasm of conjunctiva,2
cancer,B504.,Malignant neoplasm of cornea,2
cancer,B505.,Malignant neoplasm of retina,2
cancer,B506.,Malignant neoplasm of choroid,2
cancer,B507.,Malignant neoplasm of lacrimal duct,2
cancer,B507.,Malignant neoplasm of lacrimal gland,2
cancer,B5070,Malignant neoplasm of lacrimal sac,2
cancer,B5071,Malignant neoplasm of nasolacrimal duct,2
cancer,B507z,Malignant neoplasm of lacrimal duct NOS,2
cancer,B508.,"Malignant neoplasm, overlapping lesion of eye and adnexa",2
cancer,B50y.,Malignant neoplasm of other specified site of eye,2
cancer,B50z.,Malignant neoplasm of eye NOS,2
cancer,B51..,Malignant neoplasm of brain,2
cancer,B510.,Malignant neoplasm cerebrum (excluding lobes and ventricles),2
cancer,B5100,Malignant neoplasm of basal ganglia,2
cancer,B5101,Malignant neoplasm of cerebral cortex,2
cancer,B5102,Malignant neoplasm of corpus striatum,2
cancer,B5103,Malignant neoplasm of globus pallidus,2
cancer,B5104,Malignant neoplasm of hypothalamus,2
cancer,B5105,Malignant neoplasm of thalamus,2
cancer,B510z,Malignant neoplasm of cerebrum NOS,2
cancer,B511.,Malignant neoplasm of frontal lobe,2
cancer,B512.,Malignant neoplasm of temporal lobe,2
cancer,B5120,Malignant neoplasm of hippocampus,2
cancer,B5121,Malignant neoplasm of uncus,2
cancer,B512z,Malignant neoplasm of temporal lobe NOS,2
cancer,B513.,Malignant neoplasm of parietal lobe,2
cancer,B514.,Malignant neoplasm of occipital lobe,2
cancer,B515.,Malignant neoplasm of cerebral ventricles,2
cancer,B5150,Malignant neoplasm of choroid plexus,2
cancer,B5151,Malignant neoplasm of floor of cerebral ventricle,2
cancer,B515z,Malignant neoplasm of cerebral ventricle NOS,2
cancer,B516.,Malignant neoplasm of cerebellum,2
cancer,B517.,Malignant neoplasm of brain stem,2
cancer,B5170,Malignant neoplasm of cerebral peduncle,2
cancer,B5171,Malignant neoplasm of medulla oblongata,2
cancer,B5172,Malignant neoplasm of midbrain,2
cancer,B5173,Malignant neoplasm of pons,2
cancer,B517z,Malignant neoplasm of brain stem NOS,2
cancer,B51y.,Malignant neoplasm of other parts of brain,2
cancer,B51y0,Malignant neoplasm of corpus callosum,2
cancer,B51y1,Malignant neoplasm of tapetum,2
cancer,B51y2,"Malignant neoplasm, overlapping lesion of brain",2
cancer,B51yz,Malignant neoplasm of other part of brain NOS,2
cancer,B51z.,Malignant neoplasm of brain NOS,2
cancer,B52..,Malig neop of other and unspecified parts of nervous system,2
cancer,B520.,Malignant neoplasm of cranial nerves,2
cancer,B5200,Malignant neoplasm of olfactory bulb,2
cancer,B5201,Malignant neoplasm of optic nerve,2
cancer,B5202,Malignant neoplasm of acoustic nerve,2
cancer,B520z,Malignant neoplasm of cranial nerves NOS,2
cancer,B521.,Malignant neoplasm of cerebral meninges,2
cancer,B5210,Malignant neoplasm of cerebral dura mater,2
cancer,B5211,Malignant neoplasm of cerebral arachnoid mater,2
cancer,B5212,Malignant neoplasm of cerebral pia mater,2
cancer,B521z,Malignant neoplasm of cerebral meninges NOS,2
cancer,B522.,Malignant neoplasm of spinal cord,2
cancer,B523.,Malignant neoplasm of spinal meninges,2
cancer,B5230,Malignant neoplasm of spinal dura mater,2
cancer,B5231,Malignant neoplasm of spinal arachnoid mater,2
cancer,B5232,Malignant neoplasm of spinal pia mater,2
cancer,B523z,Malignant neoplasm of spinal meninges NOS,2
cancer,B524.,Malig neopl peripheral nerves and autonomic nervous system,2
cancer,B5240,"Malignant neoplasm of peripheral nerves of head, face & neck",2
cancer,B5241,"Malignant neoplasm of peripheral nerve,upp limb,incl should",2
cancer,B5242,"Malignant neoplasm of peripheral nerve of low limb, incl hip",2
cancer,B5243,Malignant neoplasm of peripheral nerve of thorax,2
cancer,B5244,Malignant neoplasm of peripheral nerve of abdomen,2
cancer,B5245,Malignant neoplasm of peripheral nerve of pelvis,2
cancer,B5246,"Malignant neoplasm,overlap lesion periph nerve & auton ns",2
cancer,B524W,"Mal neoplasm/periph nerves nervous system,unspc",2
cancer,B524X,"Malignant neoplasm/peripheral nerves of trunk,unspecified",2
cancer,B525.,Malignant neoplasm of cauda equina,2
cancer,B52W.,"Malig neopl, overlap lesion brain & other part of CNS",2
cancer,B52X.,"Malignant neoplasm of meninges, unspecified",2
cancer,B52y.,Malignant neoplasm of other specified part of nervous system,2
cancer,B52z.,Malignant neoplasm of nervous system NOS,2
cancer,B53..,Malignant neoplasm of thyroid gland,2
cancer,B54..,Malig neop of other endocrine glands and related structures,2
cancer,B540.,Phaeochromocytoma,2
cancer,B5400,Malignant neoplasm of adrenal cortex,2
cancer,B5401,Malignant neoplasm of adrenal medulla,2
cancer,B540z,Malignant neoplasm of adrenal gland NOS,2
cancer,B541.,Malignant neoplasm of parathyroid gland,2
cancer,B542.,Malignant neoplasm pituitary gland and craniopharyngeal duct,2
cancer,B5420,Malignant neoplasm of pituitary gland,2
cancer,B5421,Malignant neoplasm of craniopharyngeal duct,2
cancer,B542z,Malig neop pituitary gland or craniopharyngeal duct NOS,2
cancer,B543.,Malignant neoplasm of pineal gland,2
cancer,B544.,Malignant neoplasm of carotid body,2
cancer,B545.,Malignant neoplasm of aortic body and other paraganglia,2
cancer,B5450,Malignant neoplasm of glomus jugulare,2
cancer,B5451,Malignant neoplasm of aortic body,2
cancer,B5452,Malignant neoplasm of coccygeal body,2
cancer,B545z,Malignant neoplasm of aortic body or paraganglia NOS,2
cancer,B54X.,"Malignant neoplasm-pluriglandular involvement,unspecified",2
cancer,B54y.,Malignant neoplasm of other specified endocrine gland,2
cancer,B54z.,Malig neop of endocrine gland or related structure NOS,2
cancer,B55..,Malignant neoplasm of other and ill-defined sites,2
cancer,B550.,"Malignant neoplasm of head, neck and face",2
cancer,B5500,Malignant neoplasm of head NOS,2
cancer,B5501,Malignant neoplasm of cheek NOS,2
cancer,B5502,Malignant neoplasm of nose NOS,2
cancer,B5503,Malignant neoplasm of jaw NOS,2
cancer,B5504,Malignant neoplasm of neck NOS,2
cancer,B5505,Malignant neoplasm of supraclavicular fossa NOS,2
cancer,B550z,"Malignant neoplasm of head, neck and face NOS",2
cancer,B551.,Malignant neoplasm of thorax,2
cancer,B5510,Malignant neoplasm of axilla NOS,2
cancer,B5511,Malignant neoplasm of chest wall NOS,2
cancer,B5512,Malignant neoplasm of intrathoracic site NOS,2
cancer,B551z,Malignant neoplasm of thorax NOS,2
cancer,B552.,Malignant neoplasm of abdomen,2
cancer,B553.,Malignant neoplasm of pelvis,2
cancer,B5530,Malignant neoplasm of inguinal region NOS,2
cancer,B5531,Malignant neoplasm of presacral region,2
cancer,B5532,Malignant neoplasm of sacrococcygeal region,2
cancer,B553z,Malignant neoplasm of pelvis NOS,2
cancer,B554.,Malignant neoplasm of upper limb NOS,2
cancer,B555.,Malignant neoplasm of lower limb NOS,2
cancer,B55y.,Malignant neoplasm of other specified sites,2
cancer,B55y0,Malignant neoplasm of back NOS,2
cancer,B55y1,Malignant neoplasm of trunk NOS,2
cancer,B55y2,Malignant neoplasm of flank NOS,2
cancer,B55yz,Malignant neoplasm of specified site NOS,2
cancer,B55z.,Malignant neoplasm of other and ill defined site NOS,2
cancer,B592.,[X]Malignant neoplasms/independent (primary) multiple sites,2
cancer,B592.,[X]Malignant neoplasms/independent(primary)multiple sites,2
cancer,B59zX,"Kaposi's sarcoma, unspecified",2
cancer,B6...,Malignant neoplasm of lymphatic and haemopoietic tissue,2
cancer,B60..,Lymphosarcoma and reticulosarcoma,2
cancer,B600.,Reticulosarcoma,2
