Allergy prescription,Read code,Term
eczema preparations,x00Ww,efcortelan 2.5% ointment
eczema preparations,x00Wx,eumovate ointment
eczema preparations,x00WY,aureocort ointment
eczema preparations,x00X2,gregoderm ointment
eczema preparations,x00X5,hydrocortisone 1% ointment
eczema preparations,x00X7,hydrocortistab 1% ointment
eczema preparations,x00X8,hydrocortisyl 1% ointment
eczema preparations,x00XB,locoid 0.1% ointment
eczema preparations,x00XC,locoid c 0.1% ointment
eczema preparations,x00XI,nystaform-hc 1% ointment
eczema preparations,x00XN,propaderm ointment
eczema preparations,x00XQ,terra-cortril ointment
eczema preparations,x00XX,vioform hydrocortisone ointment
eczema preparations,x01Fe,meditar 5% waxstick
eczema preparations,x01Ff,clinitar 2.5% gel
eczema preparations,x01Fg,coal tar scalp preparations
eczema preparations,x01Fh,polytar af liquid
eczema preparations,x01Fi,coal tar bath preparations
eczema preparations,x01Hq,topical erythromycin
eczema preparations,x01Mb,trimovate ointment
eczema preparations,x01Mm,nerisone 0.1% cream
eczema preparations,x01Mn,nerisone 0.1% ointment
eczema preparations,x01Mo,nerisone forte 0.3% ointment
eczema preparations,x01MO,modrasone 0.05% cream
eczema preparations,x01Mp,nerisone 0.1% oily cream
eczema preparations,x01MP,modrasone 0.05% ointment
eczema preparations,x01Mq,nerisone forte 0.3% oily cream
eczema preparations,x01Mw,synalar n 0.025% ointment
eczema preparations,x01Mx,synalar n 0.025% cream
eczema preparations,x01My,synalar c 0.025% ointment
eczema preparations,x01Mz,synalar c 0.025% cream
eczema preparations,x01N1,synalar 1:4 ointment
eczema preparations,x01N2,synalar 1:4 cream
eczema preparations,x01N3,synalar 0.025% cream
eczema preparations,x01N4,synalar 0.025% ointment
eczema preparations,x01N5,synalar 0.025% gel
eczema preparations,x01N6,metosyn 0.05% cream
eczema preparations,x01N7,metosyn 0.05% ointment
eczema preparations,x01N8,metosyn 0.05% scalp application
eczema preparations,x01ND,ultralanum plain cream
eczema preparations,x01NE,ultralanum cream
eczema preparations,x01NF,ultralanum plain ointment
eczema preparations,x01NG,ultralanum ointment
eczema preparations,x01Nh,elocon ointment
eczema preparations,x01NH,haelan 0.0125% cream
eczema preparations,x01NI,haelan 0.0125% ointment
eczema preparations,x01Nj,elocon scalp lotion
eczema preparations,x01NJ,haelan x 0.05% ointment
eczema preparations,x01NK,haelan x 0.05% cream
eczema preparations,x01Nl,elocon cream
eczema preparations,x01NL,haelan c 0.0125% ointment
eczema preparations,x01NM,haelan c 0.0125% cream
eczema preparations,x01NR,efcortelan 1% lotion
eczema preparations,x01NX,barquinol-hc cream
eczema preparations,x027k,nizoral 2% cream
eczema preparations,x027S,hydrocortisone 0.5% ointment
eczema preparations,x027U,zineryt topical solution
eczema preparations,x029T,synalar 1:10 cream
eczema preparations,x02Vf,betnovate
eczema preparations,x02VW,betacap
eczema preparations,x02YM,cutivate
eczema preparations,x03ca,locoidcrelo
eczema preparations,x03cb,locoid
eczema preparations,x03eA,bettamousse 0.12% foam
eczema preparations,x03iq,alphosyl shampoo
eczema preparations,x03ky,canesten hydrocortisone cream
eczema preparations,x03li,isotrexin gel
eczema preparations,x03so,modrasone
eczema preparations,x03tQ,trimovate
eczema preparations,x03vh,lotriderm
eczema preparations,x03vX,locoidc
eczema preparations,x03x2,econacort
eczema preparations,x03xd,diprosalic
eczema preparations,x03xe,diprosone
eczema preparations,x03xG,elocon
eczema preparations,x03xY,dioderm
eczema preparations,x03yb,timodine
eczema preparations,x03yg,ultralanumplain
eczema preparations,x03zz,fucibet
eczema preparations,x040q,canestenhc
eczema preparations,x040r,canestenhydrocortisone
eczema preparations,x041i,mildisonlipocream
eczema preparations,x042f,betnovatec
eczema preparations,x042g,betnovaten
eczema preparations,x042h,betnovaterd
eczema preparations,x0448,metosyn
eczema preparations,x045l,nerisone
eczema preparations,x045m,nerisoneforte
eczema preparations,x0477,aureocort
eczema preparations,x047y,alphaderm
eczema preparations,x048o,synalar
eczema preparations,x048p,synalar1:4
eczema preparations,x048q,synalarc
eczema preparations,x048r,synalarn
eczema preparations,x04Ad,dermovate
eczema preparations,x04Ae,dermovatenn
eczema preparations,x04AG,daktacort
eczema preparations,x04pc,dayleve 0.1% cream
eczema preparations,x04qz,eryacne 2 topical gel
eczema preparations,x04r0,eryacne 4 topical gel
eczema preparations,x04rs,exorex lotion
eczema preparations,x058t,daktarin gold 2% cream
eczema preparations,x05CX,aknemycin plus solution
eczema preparations,x05hy,elidel 1% cream
eczema preparations,x05ks,topical mometasone
eczema preparations,x05LY,azathioprine - chemical
eczema preparations,x05LZ,azathioprine sodium - chemical
eczema preparations,x05m1,sebco ointment
eczema preparations,x05r8,exe-cort hydrocortisone 1% cream
eczema preparations,x05YY,daktacort hc cream
eczema preparations,x05YZ,daktacorthc
eczema preparations,x060T,clarelux
eye allergy drugs,k61..,antazoline salts
eye allergy drugs,k611.,otrivine-antistin eye drops 10ml
eye allergy drugs,k612.,vasocon a eye drops 10ml
eye allergy drugs,k62..,betamethasone sodium phoshate [eye]
eye allergy drugs,k621.,betnesol 0.1% eye drops 10ml
eye allergy drugs,k622.,betnesol 0.1% eye ointment 3g
eye allergy drugs,k623.,betnesol-n eye ointment 3g
eye allergy drugs,k624.,vista-methasone 0.1% eye drops 5ml
eye allergy drugs,k625.,vista-methasone 0.1% eye drops 10ml
eye allergy drugs,k626.,betnesol-n eye drops
eye allergy drugs,k627.,betnesol-n eye drops 10ml
eye allergy drugs,k628.,betamethasone sodium phosphate+neomycin sulphate 0.1%/0.5% eye drops
eye allergy drugs,k629.,vista-methasone n eye drops 5ml
eye allergy drugs,k62A.,vista-methasone n eye drops 10ml
eye allergy drugs,k62y.,betamethasone 0.1% eye drops
eye allergy drugs,k62z.,betamethasone 0.1% eye ointment
eye allergy drugs,k64..,dexamethasone [eye]
eye allergy drugs,k641.,maxidex eye drops 5ml
eye allergy drugs,k642.,maxidex eye drops 10ml
eye allergy drugs,k643.,maxitrol eye drops 5ml
eye allergy drugs,k644.,maxitrol eye ointment 3.5g
eye allergy drugs,k645.,dexamethasone sodium phosphate 0.1% single-use eye drops
eye allergy drugs,k646.,minims dexamethasone sodium phosphate 0.1% single-use eye drops 0.5ml
eye allergy drugs,k647.,dexamethasone+hypromellose 0.1%/0.5% eye drops
eye allergy drugs,k648.,dexamethasone+tobramycin 0.1%/0.3% eye drops
eye allergy drugs,k649.,tobradex eye drops 5ml
eye allergy drugs,k64A.,dexamethasone 700micrograms intravitreal implant+applicator
eye allergy drugs,k64B.,ozurdex 700micrograms intravitreal implant in applicator
eye allergy drugs,k64C.,dropodex 0.1% single-use eye drops 0.4ml
eye allergy drugs,k64D.,dexafree 1mg/ml single-use eye drops 0.4ml
eye allergy drugs,k64x.,dexamethasone compound eye ointment
eye allergy drugs,k64y.,dexamethasone eye drops
eye allergy drugs,k64z.,dexamethasone eye ointment
eye allergy drugs,k69..,sodium cromoglicate [eye]
eye allergy drugs,k691.,opticrom eye drops 5ml
eye allergy drugs,k692.,opticrom 4% eye ointment 5g
eye allergy drugs,k693.,opticrom aqueous 2% eye drops 13.5ml
eye allergy drugs,k694.,opticrom viscous eye drops 5ml
eye allergy drugs,k695.,hay-crom aqueous 2% eye drops
eye allergy drugs,k696.,vividrin 2% eye drops
eye allergy drugs,k697.,cusilyn 2% eye drops
eye allergy drugs,k698.,viz-on 2% eye drops
eye allergy drugs,k699.,hay-crom hay fever 2% eye drops 10ml
eye allergy drugs,k69A.,hay-crom hay fever 2% eye drops 13.5ml
eye allergy drugs,k69B.,dominion pharma hayfever eye drops 10ml
eye allergy drugs,k69C.,clarityn allergy 2% eye drops 10ml
eye allergy drugs,k69D.,vivicrom 2% eye drops
eye allergy drugs,k69E.,optrex allergy eye drops 10ml
eye allergy drugs,k69F.,pollenase allergy 2% eye drops 10ml
eye allergy drugs,k69G.,galpharm allergy 2% eye drops 10ml
eye allergy drugs,k69H.,cromolux hayfever 2% eye drops 10ml
eye allergy drugs,k69I.,cromolux 2% eye drops 13.5ml
eye allergy drugs,k69J.,opticrom allergy 2% eye drops 5ml
eye allergy drugs,k69K.,opticrom allergy 2% eye drops 10ml
eye allergy drugs,k69L.,catacrom 2% single-use eye drops 0.3ml
eye allergy drugs,k69M.,allercrom 2% eye drops 10ml
eye allergy drugs,k69N.,opticrom allergy 2% p/f single use eye drops 0.3ml
eye allergy drugs,k69x.,sodium cromoglicate 2% single-use eye drops
eye allergy drugs,k69y.,sodium cromoglicate 2% eye drops
eye allergy drugs,k69z.,sodium cromoglycate 4% eye ointment
eye allergy drugs,k6b..,lodoxamide [eye]
eye allergy drugs,k6b1.,lodoxamide 0.1% eye drops
eye allergy drugs,k6b2.,alomide 0.1% eye drops 10ml
eye allergy drugs,k6b3.,alomide allergy 0.1% eye drops 5ml
eye allergy drugs,k6d..,diclofenac sodium [eye]
eye allergy drugs,k6d1.,voltarol ophtha 0.1% single-use eye drops x4
eye allergy drugs,k6d2.,voltarol ophtha 0.1% single-use eye drops x40
eye allergy drugs,k6d3.,diclofenac 0.1% single-use eye drops x4
eye allergy drugs,k6d4.,diclofenac 0.1% single-use eye drops x40
eye allergy drugs,k6d5.,diclofenac 0.1% single-use eye drops
eye allergy drugs,k6d6.,voltarol ophtha 0.1% single-use eye drops x5
eye allergy drugs,k6d7.,diclofenac 0.1% multidose eye drops
eye allergy drugs,k6d8.,voltarol ophtha 0.1% multidose eye drops 5ml
eye allergy drugs,k6e..,nedocromil sodium [eye]
eye allergy drugs,k6e1.,nedocromil sodium 2% eye drops
eye allergy drugs,k6e2.,rapitil 2% eye drops
eye allergy drugs,k6f..,levocabastine hydrochloride [eye]
eye allergy drugs,k6f1.,levocabastine 0.5mg/ml eye drops
eye allergy drugs,k6f2.,livostin 0.5mg/ml eye drops 4ml
eye allergy drugs,k6f3.,livostin direct 0.5mg/ml eye drops 3ml
eye allergy drugs,k6h..,azelastine hydrochloride [eye]
eye allergy drugs,k6h1.,azelastine hydrochloride 0.05% eye drops
eye allergy drugs,k6h2.,optilast 0.05% eye drops 6ml
eye allergy drugs,k6h3.,aller-eze 0.05% eye drops 6ml
eye allergy drugs,k6h4.,optilast 0.05% eye drops 8ml
eye allergy drugs,k6i..,emedastine [eye]
eye allergy drugs,k6i1.,emadine 0.05% eye drops 5ml
eye allergy drugs,k6iz.,emedastine 0.05% eye drops
eye allergy drugs,k6k..,ketotifen [eye]
eye allergy drugs,k6k1.,ketotifen 250micrograms/ml eye drops
eye allergy drugs,k6k2.,zaditen 250micrograms/ml eye drops 5ml
eye allergy drugs,k6l..,olopatadine [eye]
eye allergy drugs,k6l1.,olopatadine 1mg/ml eye drops
eye allergy drugs,k6l2.,opatanol 1mg/ml eye drops 5ml
eye allergy drugs,x00KG,otrivine-antistin eye drops
eye allergy drugs,x00L9,vasocon a eye drops
eye allergy drugs,x01Dp,azelastine
eye allergy drugs,x02AF,opticrom allergy eye drops
eye allergy drugs,x03am,levocabastine product
eye allergy drugs,x03an,livostin 0.5mg/ml eye drops
eye allergy drugs,x044U,opticrom allergy
eye allergy drugs,x04pM,optilast 0.05% eye drops
eye allergy drugs,x04xx,emedastine
eye allergy drugs,x04xy,emadine 0.05% eye drops
eye allergy drugs,x05cQ,clarityn allergy 2% eye drops
eye allergy drugs,x05cW,alomide allergy
eye allergy drugs,x05cX,alomide allergy 0.1% eye drops
eye allergy drugs,x05j3,optrex allergy
eye allergy drugs,x05kY,optrex allergy eye drops
eye allergy drugs,x05la,opatanol 1mg/ml eye drops
eye allergy drugs,x05lY,aller-eze 0.05% eye drops
eye allergy drugs,x05ps,pollenase allergy 2% eye drops
eye allergy drugs,x05ro,relestat 0.5mg/ml eye drops
eye allergy drugs,x05wr,galpharm allergy 2% eye drops
eye allergy drugs,x05Zl,livostin direct 0.5mg/ml eye drops
nasal allergy drugs,l8...,nasal allergy drugs
nasal allergy drugs,l81..,beclometasone dipropionate [nose]
nasal allergy drugs,l811.,beconase 50micrograms nasal spray
nasal allergy drugs,l812.,beconase aqueous 50microgram nasal spray
nasal allergy drugs,l813.,zonivent aquanasal 50micrograms spray
nasal allergy drugs,l814.,beconase hayfever 50micrograms aqueous nasal spray
nasal allergy drugs,l815.,nasobec aqueous 50micrograms nasal spray
nasal allergy drugs,l816.,nasobec hayfever 50micrograms nasal spray
nasal allergy drugs,l817.,beclo-aqua 50 nasal spray
nasal allergy drugs,l818.,beclomist 50micrograms nasal spray
nasal allergy drugs,l819.,vivabec 50micrograms nasal spray
nasal allergy drugs,l81a.,care hayfever relief 50micrograms nasal spray
nasal allergy drugs,l81b.,rino clenil 50micrograms nasal spray
nasal allergy drugs,l81c.,pollenase 50micrograms nasal spray
nasal allergy drugs,l81d.,vantage hayfever relief 50micrograms nasal spray
nasal allergy drugs,l81e.,beconase hayfever relief for adults 50micrograms nasal spray
nasal allergy drugs,l81y.,beclomethasone 50micrograms nasal spray
nasal allergy drugs,l81z.,beclometasone 50micrograms aqueous nasal spray
nasal allergy drugs,l82..,betamethasone sod phosphate [nose]
nasal allergy drugs,l821.,betnesol nose drops 5ml
nasal allergy drugs,l822.,betnesol 0.1% nose drops 10ml
nasal allergy drugs,l823.,vista-methasone 0.1% nose drops 5ml
nasal allergy drugs,l824.,vista-methasone 0.1% nose drops 10ml
nasal allergy drugs,l825.,betnesol-n nose drops 10ml
nasal allergy drugs,l826.,betamethasone sodium phosphate+neomycin sulfate 0.1%/0.5% nose drops
nasal allergy drugs,l827.,vista-methasone n nose drops 5ml
nasal allergy drugs,l828.,vista-methasone n nose drops 10ml
nasal allergy drugs,l82z.,betamethasone 0.1% nose drops
nasal allergy drugs,l83..,budesonide [nose]
nasal allergy drugs,l831.,rhinocort 50micrograms nasal spray
nasal allergy drugs,l832.,rhinocort aqua 100micrograms nasal spray
nasal allergy drugs,l833.,rhinocort aqua 64micrograms nasal spray
nasal allergy drugs,l83x.,budesonide 64micrograms aqueous nasal spray
nasal allergy drugs,l83y.,budesonide 100micrograms aqueous nasal spray
nasal allergy drugs,l83z.,budesonide 50micrograms nasal spray
nasal allergy drugs,l84..,flunisolide
nasal allergy drugs,l841.,syntaris 25micrograms nasal spray
nasal allergy drugs,l84z.,flunisolide 25micrograms nasal spray
nasal allergy drugs,l85..,sodium cromoglicate [nose]
nasal allergy drugs,l851.,rynacrom 10mg cartridges
nasal allergy drugs,l852.,rynacrom insufflator
nasal allergy drugs,l853.,rynacrom 2% nose drops 15ml
nasal allergy drugs,l854.,rynacrom 2% nasal spray 26ml
nasal allergy drugs,l855.,rynacrom compound nasal spray 26ml
nasal allergy drugs,l856.,rynacrom 4% nasal spray 22ml
nasal allergy drugs,l857.,resiston one nasal spray
nasal allergy drugs,l858.,vividrin 2% nasal spray
nasal allergy drugs,l859.,rynacrom allergy nasal spray 10ml
nasal allergy drugs,l85v.,sodium cromoglicate 4% nasal spray
nasal allergy drugs,l85w.,sod cromoglycate 10mg cartridges
nasal allergy drugs,l85x.,sod cromoglycate 2% nose drops
nasal allergy drugs,l85y.,sodium cromoglicate 2% nasal spray
nasal allergy drugs,l85z.,sodium cromoglicate compound 2% nasal spray
nasal allergy drugs,l86..,ipratropium bromide [2]
nasal allergy drugs,l861.,ipratropium 20micrograms nasal spray
nasal allergy drugs,l862.,rinatec 20micrograms nasal spray
nasal allergy drugs,l863.,ipratropium 0.03% aqueous nasal spray
nasal allergy drugs,l864.,rinatec 0.03% aqueous nasal spray
nasal allergy drugs,l865.,rinatec 21micrograms nasal spray
nasal allergy drugs,l866.,ipratropium bromide 21micrograms nasal spray
nasal allergy drugs,l87..,azelastine hydrochloride
nasal allergy drugs,l871.,azelastine 0.1% nasal spray
nasal allergy drugs,l872.,rhinolast 0.1% nasal spray 10ml
nasal allergy drugs,l873.,rhinolast 0.1% nasal spray 20ml
nasal allergy drugs,l874.,rhinolast hayfever 0.1% nasal spray 5ml
nasal allergy drugs,l875.,aller-eze 0.1% nasal spray 5ml
nasal allergy drugs,l876.,rhinolast 0.1% nasal spray 22ml
nasal allergy drugs,l877.,rhinolast allergy 0.1% nasal spray 5ml
nasal allergy drugs,l88..,fluticasone [nose]
nasal allergy drugs,l881.,fluticasone propionate 50micrograms nasal spray
nasal allergy drugs,l882.,flixonase 50micrograms nasal spray
nasal allergy drugs,l883.,flixonase 400micrograms nasules
nasal allergy drugs,l884.,flixonase allergy 50micrograms nasal spray
nasal allergy drugs,l885.,nasofan aqueous 50micrograms nasal spray
nasal allergy drugs,l886.,avamys 27.5micrograms nasal spray
nasal allergy drugs,l887.,fluticasone furoate 27.5micrograms nasal spray
nasal allergy drugs,l88z.,fluticasone propionate 400micrograms single-use nasal drops
nasal allergy drugs,l89..,nedocromil sodium [nose]
nasal allergy drugs,l891.,nedocromil sodium 1% nasal spray
nasal allergy drugs,l892.,tilarin 1% nasal spray
nasal allergy drugs,l8A..,levocabastine hydrochloride [nose]
nasal allergy drugs,l8A1.,levocabastine 0.5mg/ml nasal spray
nasal allergy drugs,l8A2.,livostin 0.5mg/ml nasal spray 10ml
nasal allergy drugs,l8A3.,livostin direct 0.5mg/ml nasal spray 5ml
nasal allergy drugs,l8B..,triamcinolone acetonide [nose]
nasal allergy drugs,l8B1.,triamcinolone acetonide 55micrograms aqueous nasal spray
nasal allergy drugs,l8B2.,nasacort 55micrograms aqueous nasal spray
nasal allergy drugs,l8C..,tramazoline hydrochloride+dexamethasone isonicotinate
nasal allergy drugs,l8C1.,dexa-rhinaspray duo nasal spray
nasal allergy drugs,l8D..,mometasone furoate monohydrate [nose]
nasal allergy drugs,l8D1.,nasonex 0.05% aqueous nasal spray
nasal allergy drugs,l8Dz.,mometasone furoate monohydrate 0.05% aqueous nasal spray
nasal allergy drugs,l8E..,azelastine hydrochloride+fluticasone propionate
nasal allergy drugs,l8E1.,dymista 137micrograms/50micrograms nasal spray
nasal allergy drugs,l8E2.,azelastine hcl+fluticasone propion 137mcg/50mcg nasal spray
nasal allergy drugs,x01Dp,azelastine
nasal allergy drugs,x01Dy,vibrocil nasal spray
nasal allergy drugs,x01Dz,vibrocil nose gel
nasal allergy drugs,x01E0,vibrocil nose drops
nasal allergy drugs,x03ao,livostin 0.5mg/ml nasal spray
nasal allergy drugs,x03lb,rhinolast allergy 0.1% nasal spray
nasal allergy drugs,x04r5,rynacrom allergy nasal spray
nasal allergy drugs,x04r6,rynacrom allergy
nasal allergy drugs,x05By,beconase allergy
nasal allergy drugs,x05FH,rhinolast allergy
nasal allergy drugs,x05lt,flixonase allergy
nasal allergy drugs,x05lZ,aller-eze 0.1% nasal spray
nasal allergy drugs,x05s1,rhinolast 0.1% nasal spray
nasal allergy drugs,x05Zm,livostin direct 0.5mg/ml nasal spray
oral antihistamines,c8...,antihistamines
oral antihistamines,c81..,astemizole
oral antihistamines,c811.,hismanal 10mg tablets
oral antihistamines,c812.,hismanal 5mg/5ml suspension
oral antihistamines,c813.,astemizole 10mg tablets
oral antihistamines,c814.,astemizole 5mg/5ml suspension
oral antihistamines,c82..,azatadine maleate
oral antihistamines,c821.,optimine 1mg tablets
oral antihistamines,c822.,optimine 500micrograms/5ml syrup
oral antihistamines,c82y.,azatadine maleate 1mg tablets
oral antihistamines,c82z.,azatadine maleate 500micrograms/5ml syrup
oral antihistamines,c83..,brompheniramine maleate
oral antihistamines,c831.,dimotane 4mg tablets
oral antihistamines,c832.,dimotane 2mg/5ml elixir
oral antihistamines,c833.,dimotane la 12mg m/r tablets
oral antihistamines,c834.,dimotane plus-la tablets x14
oral antihistamines,c835.,dimotane plus-la tablets x56
oral antihistamines,c83x.,brompheniramine 4mg tablets
oral antihistamines,c83y.,brompheniramine 2mg/5ml elixir
oral antihistamines,c83z.,brompheniramine maleate 12mg m/r tablets
oral antihistamines,c84..,chlorphenamine maleate
oral antihistamines,c841.,chlorphenamine maleate 4mg tablets
oral antihistamines,c842.,alunex 4mg tablets
oral antihistamines,c843.,piriton 4mg tablets
oral antihistamines,c844.,piriton 12mg m/r tablets
oral antihistamines,c845.,piriton 2mg/5ml syrup
oral antihistamines,c846.,piriton 10mg/1ml injection
oral antihistamines,c847.,pollenase antihistamine 4mg tablets
oral antihistamines,c848.,rhino-syrup allergy 2mg/5ml sugar free syrup
oral antihistamines,c849.,pollenase allergy syrup 2mg/5ml sugar free syrup
oral antihistamines,c84A.,allerief 2mg/5ml sugar free oral solution
oral antihistamines,c84B.,vantage antihistamine 4mg tablets
oral antihistamines,c84C.,hayleve 4mg tablets
oral antihistamines,c84D.,allergy relief antihistamine 4mg tablets
oral antihistamines,c84E.,allercalm 4mg tablets
oral antihistamines,c84v.,chlorphenamine maleate 2mg/5ml sugar free oral solution
oral antihistamines,c84w.,chlorphenamine maleate 2mg/5ml sugar free syrup
oral antihistamines,c84x.,chlorpheniramine maleate 12mg m/r tablets
oral antihistamines,c84y.,chlorphenamine maleate 2mg/5ml syrup
oral antihistamines,c84z.,chlorphenamine maleate 10mg/1ml injection
oral antihistamines,c85..,clemastine
oral antihistamines,c851.,tavegil 1mg tablets
oral antihistamines,c852.,tavegil 500micrograms/5ml elixir
oral antihistamines,c853.,aller-eze tablets
oral antihistamines,c854.,clemastine+phenylpropanolamine 0.5mg/25mg tablets
oral antihistamines,c855.,aller-eze plus tablets
oral antihistamines,c85y.,clemastine 1mg tablets
oral antihistamines,c85z.,clemastine 500micrograms/5ml elixir
oral antihistamines,c86..,cyproheptadine hydrochloride
oral antihistamines,c861.,periactin 4mg tablets
oral antihistamines,c862.,periactin 2mg/5ml syrup
oral antihistamines,c86y.,cyproheptadine hcl 4mg tablets
oral antihistamines,c86z.,cyproheptadine hcl 2mg/5ml syrup
oral antihistamines,c87..,dimethindene maleate
oral antihistamines,c871.,fenostil retard 2.5mg m/r tablets
oral antihistamines,c87z.,dimethindene mal 2.5mg m/r tablets
oral antihistamines,c88..,diphenhydramine hydrochloride [antihistamine]
oral antihistamines,c881.,benadryl 25mg capsules
oral antihistamines,c882.,nytol 25mg tablets
oral antihistamines,c883.,diphenhydramine hcl 25mg tablets
oral antihistamines,c884.,diphenhydramine hydrochloride 10mg/5ml syrup
oral antihistamines,c885.,medinex 10mg/5ml syrup
oral antihistamines,c886.,nytol one-a-night 50mg tablets
oral antihistamines,c887.,diphenhydramine hydrochloride 50mg tablets
oral antihistamines,c888.,nightcalm 25mg tablets
oral antihistamines,c889.,paxidorm 25mg tablets
oral antihistamines,c88A.,sleepia 50mg capsules
oral antihistamines,c88B.,dreemon 25mg tablets
oral antihistamines,c88C.,dreemon 10mg/5ml syrup
oral antihistamines,c88D.,histergan 10mg/5ml syrup
oral antihistamines,c88E.,histergan 25mg tablets
oral antihistamines,c88F.,mandalyn paediatric 6.25mg/5ml syrup
oral antihistamines,c88G.,vantage pharmacy sleep aid 50mg tablets
oral antihistamines,c88H.,care night time sleep aid 25mg tablets
oral antihistamines,c88I.,galpharm one a night nightcalm 50mg tablets
oral antihistamines,c88x.,diphenhydramine hydrochloride 6.25mg/5ml syrup
oral antihistamines,c88y.,diphenhydramine hydrochloride 50mg capsules
oral antihistamines,c88z.,diphenhydramine hydrochloride 25mg capsules
oral antihistamines,c89..,diphenylpyraline hydrochloride
oral antihistamines,c891.,histryl spansule 5mg m/r capsules
oral antihistamines,c892.,histryl paediatric spansule 2.5mg m/r capsules
oral antihistamines,c893.,lergoban 5mg m/r tablets
oral antihistamines,c89x.,diphenylpyraline 5mg m/r capsules
oral antihistamines,c89y.,diphenylpyraline 2.5mg m/r capsules
oral antihistamines,c89z.,diphenylpyraline 5mg m/r tablets
oral antihistamines,c8a..,hydroxyzine hydrochloride [antihistamine]
oral antihistamines,c8b..,ketotifen [antihistamine]
oral antihistamines,c8c..,mebhydrolin
oral antihistamines,c8c1.,fabahistin 50mg tablets
oral antihistamines,c8c2.,fabahistin 50mg/5ml mixture
oral antihistamines,c8cy.,mebhydrolin 50mg tablets
oral antihistamines,c8cz.,mebhydrolin 50mg/5ml mixture
oral antihistamines,c8d..,mepyramine maleate [antihistamine]
oral antihistamines,c8d1.,anthisan 50mg tablets
oral antihistamines,c8dz.,mepyramine maleate 50mg tablets
oral antihistamines,c8e..,mequitazine
oral antihistamines,c8e1.,primalan 5mg tablets
oral antihistamines,c8ez.,mequitazine 5mg tablets
oral antihistamines,c8f..,oxatomide
oral antihistamines,c8f1.,tinset 30mg tablets
oral antihistamines,c8fz.,oxatomide 30mg tablets
oral antihistamines,c8g..,phenindamine tartrate
oral antihistamines,c8g1.,thephorin 25mg tablets
oral antihistamines,c8gz.,phenindamine tartrate 25mg tablets
oral antihistamines,c8h..,pheniramine maleate
oral antihistamines,c8h1.,daneral sa 75mg m/r tablets
oral antihistamines,c8hz.,pheniramine 75mg m/r tablets
oral antihistamines,c8i..,promethazine hydrochloride [antihistamine]
oral antihistamines,c8i1.,phenergan 10mg tablets
oral antihistamines,c8i2.,phenergan 25mg tablets
oral antihistamines,c8i3.,phenergan 5mg/5ml elixir
oral antihistamines,c8i4.,phenergan 25mg/1ml injection
oral antihistamines,c8i5.,phenergan 50mg/2ml injection
oral antihistamines,c8i6.,phenergan nightime 25mg tablets
oral antihistamines,c8i8.,ziz forte 25mg tablets
oral antihistamines,c8i9.,sominex 20mg tablets
oral antihistamines,c8iu.,promethazine 20mg tablets
oral antihistamines,c8iv.,promethazine 10mg tablets
oral antihistamines,c8iw.,promethazine 25mg tablets
oral antihistamines,c8ix.,promethazine 5mg/5ml elixir
oral antihistamines,c8iy.,promethazine 25mg/1ml injection
oral antihistamines,c8iz.,promethazine 50mg/2ml injection
oral antihistamines,c8j..,terfenadine
oral antihistamines,c8j1.,triludan 60mg tablets
oral antihistamines,c8j2.,triludan 30mg/5ml suspension
oral antihistamines,c8j3.,triludan forte 120mg tablets
oral antihistamines,c8j4.,triludan 30mg/5ml sugar free suspension
oral antihistamines,c8j5.,terfenadine 120mg tablets
oral antihistamines,c8j6.,histafen 60mg tablets
oral antihistamines,c8j7.,terfinax 60mg tablets
oral antihistamines,c8j8.,antihistamine forte 120mg tablets
oral antihistamines,c8j9.,histafen 120mg tablets
oral antihistamines,c8jA.,terfenadine 30mg tablets
oral antihistamines,c8jB.,terfenor 30mg tablets
oral antihistamines,c8jC.,terfenor forte 120mg tablets
oral antihistamines,c8jD.,antihistamine 60mg tablets
oral antihistamines,c8jE.,terfinax 120mg tablets
oral antihistamines,c8jF.,aller-eze clear tablets
oral antihistamines,c8jy.,terfenadine 60mg tablets
oral antihistamines,c8jz.,terfenadine 30mg/5ml sugar free suspension
oral antihistamines,c8k..,alimemazine tartrate [antihistamine]
oral antihistamines,c8k1.,vallergan 10mg tablets
oral antihistamines,c8k2.,vallergan 7.5mg/5ml syrup
oral antihistamines,c8k3.,vallergan forte 30mg/5ml syrp
oral antihistamines,c8k4.,vallergan 10mg tablets 28cp
oral antihistamines,c8kx.,alimemazine 10mg tablets
oral antihistamines,c8ky.,alimemazine 7.5mg/5ml syrup
oral antihistamines,c8kz.,alimemazine 30mg/5ml syrup
oral antihistamines,c8l..,triprolidine hydrochloride
oral antihistamines,c8l1.,actidil 2.5mg tablets
oral antihistamines,c8l2.,actidil 2mg/5ml elixir
oral antihistamines,c8l3.,pro-actidil 10mg m/r tablets
oral antihistamines,c8lx.,triprolidine 2.5mg tablets
oral antihistamines,c8ly.,triprolidine 2mg/5ml elixir
oral antihistamines,c8lz.,triprolidine 10mg m/r tablets
oral antihistamines,c8m..,acrivastine
oral antihistamines,c8m1.,acrivastine 8mg capsules
oral antihistamines,c8m2.,semprex 8mg capsules
oral antihistamines,c8m3.,benadryl allergy relief 8mg capsules
oral antihistamines,c8n..,cetirizine dihydrochloride
oral antihistamines,c8n1.,cetirizine 10mg tablets
oral antihistamines,c8n2.,zirtek 10mg tablets
