Infection,Read code,Term
LRTI,XaEW2,Infective pleurisy
LRTI,XaEW3,Bacterial pleurisy
LRTI,XaEW4,Viral pleurisy
LRTI,XaFrU,Postoperative pneumonia
LRTI,XaIzV,Severe acute respiratory syndrome
LRTI,XaJEl,Bilateral pneumonia
LRTI,XaL2O,"Pneumonitis, unspecified"
LRTI,XaREU,Aspergillus bronchitis
LRTI,XaYby,Hantavirus pulmonary syndrome
LRTI,XaYby,Hantavirus pulmonary syndrome
LRTI,XaYYt,Acute bronchiolitis due to human metapneumovirus
LRTI,XaYYt,Acute bronchiolitis due to human metapneumovirus
LRTI,XaYYu,Pneumonia due to human metapneumovirus
LRTI,XaYYu,Pneumonia due to human metapneumovirus
LRTI,XaZ1k,Community acquired pneumonia
LRTI,XaZ1l,Hospital acquired pneumonia
LRTI,XE0Qw,Whooping cough
LRTI,XE0Qw,Whooping cough
LRTI,XE0Xr,Acute bronchitis
LRTI,XE0Xs,Chest infection NOS
LRTI,XE0Xs,Chest infection NOS
LRTI,XE0Xt,Acute lower respiratory tract infection
LRTI,XE0Xt,Acute lower respiratory tract infection
LRTI,XE0YG,Viral pneumonia
LRTI,XE0YG,Viral pneumonia
LRTI,XE0YH,Pneumococcal lobar pneumonia
LRTI,XE0YH,Pneumococcal lobar pneumonia
LRTI,XE0YI,Pneumonia with infectious diseases EC
LRTI,XE0YI,Pneumonia with infectious diseases EC
LRTI,XE0YJ,Bronchopneumonia due to unspecified organism
LRTI,XE0YJ,Bronchopneumonia due to unspecified organism
LRTI,XE0YL,Bronchitis unspecified
LRTI,XE0YM,Purulent chronic bronchitis
LRTI,XE0YM,Purulent chronic bronchitis
LRTI,XE0Yt,Acute: [bronchitis]/[chest infections]/[tracheobronchitis]
LRTI,XE0Yt,Acute: [bronchitis]/[chest infections]/[tracheobronchitis]
LRTI,XE0ZF,Pneumonia and influenza &/or pneumonia
LRTI,XE0ZH,Pneumonia: [lobar] or [pneumococcal]
LRTI,XE0ZN,Chronic: [bronchitis NOS] or [tracheobronchitis]
LRTI,XE2b5,Psittacosis
LRTI,XE2b5,Psittacosis
LRTI,XE2wL,Tuberculous pleural empyema
LRTI,XM0rv,Pneumonia NOS
LRTI,XM1QV,Infection of lower respiratory tract and mediastinum
LRTI,XM1QX,Acute wheezy bronchitis
LRTI,XSCET,Bacterial infection due to Klebsiella pneumoniae
LRTI,Y210a,Pneumonia caused by severe acute respiratory syndrome coronavirus 2 (disorder)
LRTI,Y9896,Whooping cough - pertussis
LRTI,Y9897,Whooping cough pneumonia
URTI,16L..,Influenza-like symptoms
URTI,171..,Cough
URTI,1712.,Dry cough
URTI,1713.,Productive cough -clear sputum
URTI,1714.,Productive cough -green sputum
URTI,1715.,Productive cough-yellow sputum
URTI,1716.,Productive cough NOS
URTI,1716.,(Coughing up phlegm) or (productive cough NOS)
URTI,1717.,Night cough present
URTI,1719.,Chesty cough
URTI,171A.,Chronic cough
URTI,171B.,Persistent cough
URTI,171C.,Morning cough
URTI,171D.,Evening cough
URTI,171E.,Unexplained cough
URTI,171F.,Cough with fever
URTI,171G.,Bovine cough
URTI,171Z.,Cough symptom NOS
URTI,173B.,Nocturnal cough / wheeze
URTI,1C9..,Sore throat symptom
URTI,1C9..,Throat soreness (& symptom)
URTI,1C92.,Has a sore throat
URTI,1C9Z.,Sore throat symptom NOS
URTI,2DC3.,Inflamed throat
URTI,A33..,Whooping cough
URTI,A33..,(Whooping cough) or (Bordetella)
URTI,A33y.,Whooping cough - other specified organism
URTI,A33yz,Other whooping cough NOS
URTI,A33z.,Whooping cough NOS
URTI,A34..,Streptococcal sore throat and scarlatina
URTI,A34..,Streptococcal sore throat with scarlatina
URTI,A340.,Streptococcal sore throat
URTI,A3400,Streptococcal angina
URTI,A3401,Streptococcal laryngitis
URTI,A3402,Streptococcal pharyngitis
URTI,A3403,Streptococcal tonsillitis
URTI,A340z,Streptococcal sore throat NOS
URTI,A341.,Scarlet fever - scarlatina
URTI,A341.,Scarlet fever
URTI,A34z.,Streptococcal sore throat with scarlatina NOS
URTI,A740.,Herpangina
URTI,A75..,Glandular fever
URTI,A772.,Viral pharyngoconjunctivitis
URTI,A78A1,Chlamydial infection of pharynx
URTI,A986.,Gonococcal pharyngitis
URTI,AA1..,Vincent's angina
URTI,AA1..,(Vincent's angina) or (trench mouth)
URTI,AA10.,Vincent's stomatitis
URTI,AA11.,Vincent's gingivitis
URTI,AA11.,Acute necrotising ulcerative gingivitis
URTI,AA12.,Vincent's pharyngitis
URTI,AA12.,Vincent's angina - pharyngitis
URTI,AA1z.,Vincent's angina NOS
URTI,AA1z.,Vincent's: [angina NOS] or [laryngitis] or [tonsillitis]
URTI,AB20.,Candidiasis mouth/oesophagus
URTI,Ayu39,[X]Whooping cough due to other Bordetella species
URTI,Ayu3A,"[X]Whooping cough, unspecified"
URTI,H0...,Acute respiratory infections
URTI,H00..,Acute nasopharyngitis
URTI,H00..,(Acute nasopharyngitis or rhinitis) or (common cold)
URTI,H02..,Acute pharyngitis
URTI,H02..,Throat: [acute pharyngitis]/[sore NOS (& viral)]/[infection]
URTI,H020.,Acute gangrenous pharyngitis
URTI,H021.,Acute phlegmonous pharyngitis
URTI,H022.,Acute ulcerative pharyngitis
URTI,H023.,Acute bacterial pharyngitis
URTI,H0230,Acute pneumococcal pharyngitis
URTI,H0231,Acute staphylococcal pharyngitis
URTI,H023z,Acute bacterial pharyngitis NOS
URTI,H024.,Acute viral pharyngitis
URTI,H025.,Allergic pharyngitis
URTI,H02z.,Acute pharyngitis NOS
URTI,H03..,Acute tonsillitis
URTI,H03..,Tonsillitis (& acute)
URTI,H030.,Acute erythematous tonsillitis
URTI,H031.,Acute follicular tonsillitis
URTI,H032.,Acute ulcerative tonsillitis
URTI,H033.,Acute catarrhal tonsillitis
URTI,H034.,Acute gangrenous tonsillitis
URTI,H035.,Acute bacterial tonsillitis
URTI,H0350,Acute pneumococcal tonsillitis
URTI,H0351,Acute staphylococcal tonsillitis
URTI,H035z,Acute bacterial tonsillitis NOS
URTI,H036.,Acute viral tonsillitis
URTI,H037.,Recurrent acute tonsillitis
URTI,H03z.,Acute tonsillitis NOS
URTI,H04..,Acute laryngitis and tracheitis
URTI,H040.,Acute laryngitis
URTI,H0400,Acute oedematous laryngitis
URTI,H0401,Acute ulcerative laryngitis
URTI,H0402,Acute catarrhal laryngitis
URTI,H0403,Acute phlegmonous laryngitis
URTI,H0404,Acute haemophilus influenzae laryngitis
URTI,H0406,Acute suppurative laryngitis
URTI,H040w,Acute viral laryngitis unspecified
URTI,H040x,Acute bacterial laryngitis unspecified
URTI,H040z,Acute laryngitis NOS
URTI,H041.,Acute tracheitis
URTI,H0410,Acute tracheitis without obstruction
URTI,H0411,Acute tracheitis with obstruction
URTI,H041z,Acute tracheitis NOS
URTI,H042.,Acute laryngotracheitis
URTI,H0420,Acute laryngotracheitis without obstruction
URTI,H0421,Acute laryngotracheitis with obstruction
URTI,H042z,Acute laryngotracheitis NOS
URTI,H043.,Acute epiglottitis (non strep)
URTI,H0430,Acute epiglottitis without obstruction
URTI,H0432,Acute obstructive laryngitis
URTI,H043z,Acute epiglottitis NOS
URTI,H04z.,Acute laryngitis and tracheitis NOS
URTI,H05..,Other acute upper respiratory infections
URTI,H050.,Acute laryngopharyngitis
URTI,H051.,Acute upper respiratory tract infection
URTI,H052.,Pharyngotracheitis
URTI,H053.,Tracheopharyngitis
URTI,H054.,Recurrent upper respiratory tract infection
URTI,H055.,Pharyngolaryngitis
URTI,H05y.,Other upper respiratory infections of multiple sites
URTI,H05z.,Upper respiratory infection NOS
URTI,H05z.,Upper respiratory tract infection (& viral) NOS
URTI,H07..,Chest cold
URTI,H0y..,Other specified acute respiratory infections
URTI,H0z..,Acute respiratory infection NOS
URTI,H1204,Chronic infective rhinitis
URTI,H14y5,Caseous tonsillitis
URTI,H14y6,Lingular tonsillitis
URTI,H15..,Peritonsillar abscess
URTI,H1601,Chronic catarrhal laryngitis
URTI,H1y21,Pharynx or nasopharynx cellulitis
URTI,H1y22,Parapharyngeal abscess
URTI,H1y23,Retropharyngeal abscess
URTI,H1y26,Pharynx or nasopharynx abscess
URTI,H1y50,Abscess of vocal cords
URTI,H1y75,Abscess of larynx
URTI,H2711,Influenza with pharyngitis
URTI,H27z.,Flu like illness
URTI,Hyu0.,[X]Acute upper respiratory infections
URTI,Hyu01,[X]Acute pharyngitis due to other specified organisms
URTI,Hyu02,[X]Acute tonsillitis due to other specified organisms
URTI,Hyu03,[X]Other acute upper respiratory infections/multiple sites
URTI,Hyu28,[X]Other abscess of pharynx
URTI,J083.,Oral cellulitis and abscess
URTI,J0836,Uvulitis
URTI,R041.,[D]Throat pain
URTI,R062.,[D]Cough
URTI,R2...,cold
URTI,X00kv,Acute rhinitis
URTI,X00mG,Pharyngitis
URTI,X00mH,Acute herpes simplex pharyngitis
URTI,X00mI,Acute herpes zoster pharyngitis
URTI,X00mJ,Enteroviral lymphonodular pharyngitis
URTI,X00mL,Glandular fever pharyngitis
URTI,X00mN,Meningococcal pharyngitis
URTI,X00mP,Chlamydial pharyngitis
URTI,X00mq,Vincent's tonsillitis
URTI,X00mr,Acute infection of tonsillar remnant
URTI,X00ms,Acute peritonsillitis
URTI,X00mS,Acute pharyngeal candidiasis
URTI,X00n2,Vincent's laryngitis
URTI,X00n7,Viral epiglottitis
URTI,X1002,Acute upper respiratory infection
URTI,X1003,Viral upper respiratory tract infection NOS
URTI,X20RL,Streptococcal stomatitis
URTI,X5021,Staphylococcal scarlatina
URTI,X70IA,Cutaneous streptococcal ulcer
URTI,X70Pk,Vincents infection
URTI,X73mX,Rhinovirus
URTI,X73mY,Human rhinovirus
URTI,X76bv,Supraglottic abscess
URTI,X76c1,Subglottic abscess
URTI,X76Hy,Productive cough
URTI,X76Hz,Nocturnal cough
URTI,Xa05b,Acute laryngitis and tracheitis
URTI,Xa0lc,Acute necrotising ulcerative gingivitis
URTI,Xa1sb,Viral upper respiratory tract infection
URTI,Xa2kc,Persistent cough
URTI,Xa2o8,Infection of the upper respiratory tract
URTI,Xa4fM,Croupy cough
URTI,Xa4fN,Barking cough
URTI,Xa6a9,Increasing frequency of cough
URTI,Xa7I0,Tonsillitis
URTI,Xa7lm,Uvulitis
URTI,Xa7u9,Brassy cough
URTI,Xa7uA,Bovine cough
URTI,Xa7uB,Effective cough
URTI,Xa86D,Acute viral laryngotracheitis
URTI,Xa9Bu,Acute lingual tonsillitis
URTI,Xa9zW,Sore throat
URTI,XaDuG,Infective pharyngitis
URTI,XaDuH,Infective laryngitis
URTI,XaDuI,Infective tonsillitis
URTI,XaFwR,Unexplained cough
URTI,XaIO1,Cough with fever
URTI,XaKyZ,Acute obstructive laryngitis
URTI,XE0aG,Oral cellulitis and abscess NOS
URTI,XE0qn,Cough
URTI,XE0qo,Productive cough NOS
URTI,XE0Qw,Whooping cough
URTI,XE0S4,Acute necrotising ulcerative gingivostomatitis
URTI,XE0S4,Acute necrotising ulcerative gingivostomatitis
URTI,XE0S5,Vincent's angina NOS
URTI,XE0sE,Sore throat symptom
URTI,XE0vJ,Throat symptoms (& sore throat symptom)
URTI,XE0Xl,Common cold
URTI,XE0Xn,Acute pharyngitis
URTI,XE0Xo,Acute laryngotracheitis
URTI,XE0Xp,Acute epiglottitis (non-streptococcal)
URTI,XE0Xq,Upper respiratory infection NOS
URTI,XE0Yn,(Ac nasopharyng)/(com cold)/(ac coryza)/(ac rhinit)/(sniffl)
URTI,XE0Yr,Throat: [acute pharyngitis] or [infection NOS] or [sore]
URTI,XE0Yv,Ac resp infec: [NOS][pharyngotracheitis][tracheopharyngitis]
URTI,XE2aC,Acute tonsillitis
URTI,XM0Ch,C/O - cough
URTI,XM1QS,Laryngotracheitis
URTI,XM1QU,Nasal infection
URTI,XM1QW,Respiratory tract infection
URTI,Y01ed,Acute cough
URTI,Y210b,Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2 (disorder)
URTI,Y5293,Acute recurrent tonsillitis
URTI,Y9313,Strep. throat and scarlatina
URTI,Y9314,Strep.throat + scarlatina NOS
URTI,Y9896,Whooping cough - pertussis
URTI,Y9897,Whooping cough pneumonia
