cat2,read_term,read_code
drug allergy,Lorazepam allergy,Xa5is
drug allergy,Temazepam allergy,Xa5it
drug allergy,Carbamate sedative allergy,Xa5iu
drug allergy,Meprobamate allergy,Xa5iv
drug allergy,Chloral sedative allergy,Xa5iw
drug allergy,Chloral hydrate allergy,Xa5ix
drug allergy,Dichloralphenazone allergy,Xa5iy
drug allergy,Triclofos sodium allergy,Xa5iz
drug allergy,Buspirone allergy,Xa5j0
drug allergy,Clomethiazole allergy,Xa5j1
drug allergy,Neuroleptic allergy,Xa5j2
drug allergy,Sulpiride allergy,Xa5j3
drug allergy,Loxapine allergy,Xa5j4
drug allergy,Clozapine allergy,Xa5j5
drug allergy,Risperidone allergy,Xa5j6
drug allergy,Tetrabenazine allergy,Xa5j7
drug allergy,Butyrophenone allergy,Xa5j8
drug allergy,Benperidol allergy,Xa5j9
drug allergy,Trifluperidol allergy,Xa5jA
drug allergy,Haloperidol decanoate allergy,Xa5jB
drug allergy,Droperidol allergy,Xa5jC
drug allergy,Haloperidol allergy,Xa5jD
drug allergy,Diphenylbutylpiperidine allergy,Xa5jE
drug allergy,Pimozide allergy,Xa5jF
drug allergy,Fluspirilene allergy,Xa5jG
drug allergy,Phenothiazine allergy,Xa5jH
drug allergy,Levomepromazine allergy,Xa5jI
drug allergy,Pericyazine allergy,Xa5jJ
drug allergy,Fluphenazine decanoate allergy,Xa5jK
drug allergy,Fluphenazine enanthate allergy,Xa5jL
drug allergy,Thiethylperazine allergy,Xa5jM
drug allergy,Fluphenazine allergy,Xa5jN
drug allergy,Chlorpromazine allergy,Xa5jO
drug allergy,Pipotiazine allergy,Xa5jP
drug allergy,Promazine allergy,Xa5jQ
drug allergy,Thioridazine allergy,Xa5jR
drug allergy,Perphenazine allergy,Xa5jS
drug allergy,Prochlorperazine allergy,Xa5jT
drug allergy,Trifluoperazine allergy,Xa5jU
drug allergy,Thioxanthene allergy,Xa5jV
drug allergy,Chlorprothixene allergy,Xa5jW
drug allergy,Flupentixol decanoate allergy,Xa5jX
drug allergy,Zuclopenthixol decanoate allergy,Xa5jY
drug allergy,Zuclopenthixol allergy,Xa5jZ
drug allergy,Flupentixol allergy,Xa5ja
drug allergy,Oxypertine allergy,Xa5jb
drug allergy,Remoxipride allergy,Xa5jc
drug allergy,Decarboxylase inhibitor allergy,Xa5jd
drug allergy,Selegiline allergy,Xa5je
drug allergy,Central stimulant allergy,Xa5jf
drug allergy,Pemoline allergy,Xa5jg
drug allergy,Methylphenidate allergy,Xa5jh
drug allergy,Prolintane allergy,Xa5ji
drug allergy,Amfetamine group allergy,Xa5jj
drug allergy,Dexamfetamine allergy,Xa5jk
drug allergy,Alcohol metabolism modifier allergy,Xa5jl
drug allergy,Disulfiram allergy,Xa5jm
drug allergy,Drug groups prim affecting autonomic nervous system allergy,Xa5jn
drug allergy,Beta-adrenoceptor blocking drug allergy,Xa5jo
drug allergy,Cardioselective beta-blocker allergy,Xa5jp
drug allergy,Acebutolol allergy,Xa5jq
drug allergy,Atenolol allergy,Xa5jr
drug allergy,Betaxolol allergy,Xa5js
drug allergy,Bisoprolol allergy,Xa5jt
drug allergy,Celiprolol allergy,Xa5ju
drug allergy,Esmolol allergy,Xa5jv
drug allergy,Metoprolol allergy,Xa5jw
drug allergy,Non-cardioselective beta-blocker allergy,Xa5jx
drug allergy,Nadolol allergy,Xa5jy
drug allergy,Pindolol allergy,Xa5jz
drug allergy,Carvedilol allergy,Xa5k0
drug allergy,Metipranolol allergy,Xa5k1
drug allergy,Carteolol allergy,Xa5k2
drug allergy,Labetalol allergy,Xa5k3
drug allergy,Levobunolol allergy,Xa5k4
drug allergy,Oxprenolol allergy,Xa5k5
drug allergy,Penbutolol allergy,Xa5k6
drug allergy,Practolol allergy,Xa5k7
drug allergy,Propranolol allergy,Xa5k8
drug allergy,Sotalol allergy,Xa5k9
drug allergy,Timolol allergy,Xa5kA
drug allergy,Alpha-adrenoceptor blocking drug allergy,Xa5kB
drug allergy,Alfuzosin allergy,Xa5kC
drug allergy,Doxazosin allergy,Xa5kD
drug allergy,Indoramin allergy,Xa5kE
drug allergy,Phenoxybenzamine allergy,Xa5kF
drug allergy,Phentolamine allergy,Xa5kG
drug allergy,Prazosin allergy,Xa5kH
drug allergy,Terazosin allergy,Xa5kI
drug allergy,Nicotine allergy,Xa5kJ
drug allergy,Calcium-channel blocker allergy,Xa5kK
drug allergy,Lidoflazine allergy,Xa5kL
drug allergy,Nifedipine allergy,Xa5kM
drug allergy,Prenylamine allergy,Xa5kN
drug allergy,Isradipine allergy,Xa5kO
drug allergy,Felodipine allergy,Xa5kP
drug allergy,Lacidipine allergy,Xa5kQ
drug allergy,Nimodipine allergy,Xa5kR
drug allergy,Amlodipine allergy,Xa5kS
drug allergy,Diltiazem allergy,Xa5kT
drug allergy,Nicardipine allergy,Xa5kU
drug allergy,Verapamil allergy,Xa5kV
drug allergy,Parasympathomimetic allergy,Xa5kW
drug allergy,Pilocarpine allergy,Xa5kX
drug allergy,Acetylcholine chloride allergy,Xa5kY
drug allergy,Methacholine allergy,Xa5kZ
drug allergy,Anticholinesterase parasympathomimetic allergy,Xa5ka
drug allergy,Physostigmine allergy,Xa5kb
drug allergy,Demecarium allergy,Xa5kc
drug allergy,Distigmine allergy,Xa5kd
drug allergy,Ecothiopate allergy,Xa5ke
drug allergy,Edrophonium allergy,Xa5kf
drug allergy,Pyridostigmine allergy,Xa5kg
drug allergy,Neostigmine allergy,Xa5kh
drug allergy,Bethanechol allergy,Xa5ki
drug allergy,Carbachol allergy,Xa5kj
drug allergy,Sympathomimetic allergy,Xa5kk
drug allergy,Isoetharine hydrochloride allergy,Xa5kl
drug allergy,Phenylpropanolamine hydrochloride allergy,Xa5km
drug allergy,Pseudoephedrine allergy,Xa5kn
drug allergy,Alpha-adrenoceptor agonist allergy,Xa5ko
drug allergy,Oxedrine tartrate allergy,Xa5kp
drug allergy,Metaraminol allergy,Xa5kq
drug allergy,Methoxamine allergy,Xa5kr
drug allergy,Naphazoline allergy,Xa5ks
drug allergy,Noradrenaline allergy,Xa5kt
drug allergy,Phenylephrine allergy,Xa5ku
drug allergy,Xylometazoline allergy,Xa5kv
drug allergy,Beta-adrenoceptor agonist allergy,Xa5kw
drug allergy,Selective beta-2 adrenoceptor stimulants allergy,Xa5kx
drug allergy,Pirbuterol allergy,Xa5ky
drug allergy,Salmeterol allergy,Xa5kz
drug allergy,Salbutamol allergy,Xa5l0
drug allergy,Bambuterol allergy,Xa5l1
drug allergy,Fenoterol allergy,Xa5l2
drug allergy,Orciprenaline allergy,Xa5l3
drug allergy,Reproterol allergy,Xa5l4
drug allergy,Rimiterol allergy,Xa5l5
drug allergy,Ritodrine allergy,Xa5l6
drug allergy,Terbutaline allergy,Xa5l7
drug allergy,Tulobuterol allergy,Xa5l8
drug allergy,Selective beta-1 adrenoceptor stimulants allergy,Xa5l9
drug allergy,Dobutamine allergy,Xa5lA
drug allergy,Dopexamine allergy,Xa5lB
drug allergy,Isoprenaline allergy,Xa5lC
drug allergy,Oral isoprenaline allergy,Xa5lD
drug allergy,Inhaled isoprenaline allergy,Xa5lE
drug allergy,Parenteral isoprenaline allergy,Xa5lF
drug allergy,Central alpha-adrenoceptor agonist allergy,Xa5lG
drug allergy,Methyldopa allergy,Xa5lH
drug allergy,Methyldopa and diuretic allergy,Xa5lI
drug allergy,Apraclonidine allergy,Xa5lJ
drug allergy,Clonidine allergy,Xa5lK
drug allergy,Lofexidine allergy,Xa5lL
drug allergy,Dipivefrine allergy,Xa5lM
drug allergy,Dopamine allergy,Xa5lN
drug allergy,Ephedrine allergy,Xa5lO
drug allergy,Oxymetazoline allergy,Xa5lP
drug allergy,Xamoterol allergy,Xa5lQ
drug allergy,Anticholinergic allergy,Xa5lR
drug allergy,Antimuscarinic allergy,Xa5lS
drug allergy,Belladonna alkaloids allergy,Xa5lT
drug allergy,Piperidolate hydrochloride allergy,Xa5lU
drug allergy,Biperiden allergy,Xa5lV
drug allergy,Emepronium bromide allergy,Xa5lW
drug allergy,Terodiline hydrochloride allergy,Xa5lX
drug allergy,Lachesine chloride allergy,Xa5lY
drug allergy,Tropicamide allergy,Xa5lZ
drug allergy,Hyoscine allergy,Xa5la
drug allergy,Hyoscine hydrobromide allergy,Xa5lb
drug allergy,Atropine allergy,Xa5lc
drug allergy,Trihexyphenidyl allergy,Xa5ld
drug allergy,Benzatropine allergy,Xa5le
drug allergy,Cyclopentolate allergy,Xa5lf
drug allergy,Glycopyrronium allergy,Xa5lg
drug allergy,Homatropine allergy,Xa5lh
drug allergy,Ipratropium allergy,Xa5li
drug allergy,Methixene allergy,Xa5lj
drug allergy,Orphenadrine allergy,Xa5lk
drug allergy,Orphenadrine hydrochloride allergy,Xa5ll
drug allergy,Orphenadrine citrate allergy,Xa5lm
drug allergy,Oxitropium allergy,Xa5ln
drug allergy,Oxybutynin allergy,Xa5lo
drug allergy,Procyclidine allergy,Xa5lp
drug allergy,Drug groups primarily affecting respiratory system allergy,Xa5lq
drug allergy,Dornase alfa allergy,Xa5lr
drug allergy,Mucolytics allergy,Xa5ls
drug allergy,Tyloxapol allergy,Xa5lt
drug allergy,Bromhexine hydrochloride allergy,Xa5lu
drug allergy,Carbocisteine allergy,Xa5lv
drug allergy,Methylcysteine allergy,Xa5lw
drug allergy,Acetylcysteine allergy,Xa5lx
drug allergy,Respiratory stimulant allergy,Xa5ly
drug allergy,Nikethamide allergy,Xa5lz
drug allergy,Ethamivan allergy,Xa5m0
drug allergy,Doxapram allergy,Xa5m1
drug allergy,Respiratory surfactant allergy,Xa5m2
drug allergy,Beractant allergy,Xa5m3
drug allergy,Phospholipid fraction allergy,Xa5m4
drug allergy,Pumactant allergy,Xa5m5
drug allergy,Colfosceril allergy,Xa5m6
drug allergy,Antiallergenic drug allergy,Xa5m7
drug allergy,Topical antihistamine allergy,Xa5m8
drug allergy,H1 antihistamine allergy,Xa5m9
drug allergy,Non-sedating antihistamine allergy,Xa5mA
drug allergy,Astemizole allergy,Xa5mB
drug allergy,Terfenadine allergy,Xa5mC
drug allergy,Acrivastine allergy,Xa5mD
drug allergy,Loratadine allergy,Xa5mE
drug allergy,Azelastine allergy,Xa5mF
drug allergy,Cetirizine allergy,Xa5mG
drug allergy,Sedating antihistamine allergy,Xa5mH
drug allergy,Clemastine allergy,Xa5mI
drug allergy,Mebhydrolin allergy,Xa5mJ
drug allergy,Mequitazine allergy,Xa5mK
drug allergy,Oxatomide allergy,Xa5mL
drug allergy,Cyclizine allergy,Xa5mM
drug allergy,Dimenhydrinate allergy,Xa5mN
drug allergy,Meclozine hydrochloride allergy,Xa5mO
drug allergy,Antazoline allergy,Xa5mP
drug allergy,Promethazine allergy,Xa5mQ
drug allergy,Azatadine allergy,Xa5mR
drug allergy,Brompheniramine allergy,Xa5mS
drug allergy,Chlorphenamine allergy,Xa5mT
drug allergy,Cinnarizine allergy,Xa5mU
drug allergy,Cyproheptadine allergy,Xa5mV
drug allergy,Dimethindene allergy,Xa5mW
drug allergy,Diphenhydramine allergy,Xa5mX
drug allergy,Diphenylpyraline allergy,Xa5mY
drug allergy,Hydroxyzine allergy,Xa5mZ
drug allergy,Mepyramine allergy,Xa5ma
drug allergy,Phenindamine allergy,Xa5mb
drug allergy,Pheniramine allergy,Xa5mc
drug allergy,Triprolidine allergy,Xa5md
drug allergy,Alimemazine allergy,Xa5me
drug allergy,Cromoglycate and related antiallergenic allergy,Xa5mf
drug allergy,Nedocromil allergy,Xa5mg
drug allergy,Sodium cromoglicate allergy,Xa5mh
drug allergy,Ketotifen allergy,Xa5mi
drug allergy,Lodoxamide allergy,Xa5mj
drug allergy,Cough/decongestant preparation allergy,Xa5mk
drug allergy,Cough suppressant allergy,Xa5ml
drug allergy,Isoaminile allergy,Xa5mm
drug allergy,Morphinian cough suppressant allergy,Xa5mn
drug allergy,Dextromethorphan hydrobromide allergy,Xa5mo
drug allergy,Noscapine allergy,Xa5mp
drug allergy,Pholcodine allergy,Xa5mq
drug allergy,Compound cough suppressant allergy,Xa5mr
drug allergy,Proprietary decongestant allergy,Xa5ms
drug allergy,Expectorant allergy,Xa5mt
drug allergy,Xanthine allergy,Xa5mu
drug allergy,Aminophylline allergy,Xa5mv
drug allergy,Choline theophyllinate allergy,Xa5mw
drug allergy,Theophylline allergy,Xa5mx
drug allergy,Bronchodilator preparations allergy,Xa5my
drug allergy,Allergy to inhaled corticosteroids,Xa5mz
drug allergy,Drug groups and agents primarily acting on the skin allergy,Xa5n0
drug allergy,Topical dermatological preparation allergy,Xa5n1
drug allergy,Urea creams allergy,Xa5n2
drug allergy,Emollient bath additives allergy,Xa5n3
drug allergy,Dusting powders allergy,Xa5n4
drug allergy,Calamine allergy,Xa5n5
drug allergy,Coal tar allergy,Xa5n6
drug allergy,Coal tar scalp preparations allergy,Xa5n7
drug allergy,Coal tar bath preparations allergy,Xa5n8
drug allergy,Bufexamac allergy,Xa5n9
drug allergy,Dithranol allergy,Xa5nA
drug allergy,Dithranol ointment allergy,Xa5nB
drug allergy,Dithranol cream allergy,Xa5nC
drug allergy,Dithranol paste allergy,Xa5nD
drug allergy,Ichthammol allergy,Xa5nE
drug allergy,Calcipotriol allergy,Xa5nF
drug allergy,Sulphur allergy,Xa5nG
drug allergy,Azelaic acid allergy,Xa5nH
drug allergy,Bromine complexes allergy,Xa5nI
drug allergy,Podophyllum resin allergy,Xa5nJ
drug allergy,Podophyllotoxin allergy,Xa5nK
drug allergy,Sunscreening preparations allergy,Xa5nL
drug allergy,Camouflaging preparations allergy,Xa5nM
drug allergy,Benzoic acid allergy,Xa5nN
drug allergy,Desloughing agents allergy,Xa5nO
drug allergy,Aserbine allergy,Xa5nP
drug allergy,Surgical tissue adhesive allergy,Xa5nQ
drug allergy,Enbucrilate allergy,Xa5nR
drug allergy,Collodion allergy,Xa5nS
drug allergy,Counter irritants allergy,Xa5nT
drug allergy,Emollient allergy,Xa5nU
drug allergy,Poultices allergy,Xa5nV
drug allergy,Anionic surfactant allergy,Xa5nW
drug allergy,Alkali metal soap allergy,Xa5nX
drug allergy,Astringent allergy,Xa5nY
drug allergy,Aluminium astringent allergy,Xa5nZ
drug allergy,Topical selenium allergy,Xa5na
drug allergy,Crotamiton allergy,Xa5nb
drug allergy,Topical salicylic acid allergy,Xa5nc
drug allergy,Topical abrasive agent allergy,Xa5nd
drug allergy,Benzoyl peroxide allergy,Xa5ne
drug allergy,Silver nitrate allergy,Xa5nf
drug allergy,Oral dermatological agent allergy,Xa5ng
drug allergy,Gamolenic acid allergy,Xa5nh
drug allergy,Retinoid allergy,Xa5ni
drug allergy,Etretinate allergy,Xa5nj
drug allergy,Acitretin allergy,Xa5nk
drug allergy,Tretinoin allergy,Xa5nl
drug allergy,Isotretinoin allergy,Xa5nm
drug allergy,Drug groups primarily affect musculoskeletal system allergy,Xa5nn
drug allergy,Drug for the treatment of gout allergy,Xa5no
drug allergy,Colchicum alkaloid allergy,Xa5np
drug allergy,Colchicine allergy,Xa5nq
drug allergy,Uricosuric agent allergy,Xa5nr
drug allergy,Probenecid allergy,Xa5ns
drug allergy,Sulfinpyrazone allergy,Xa5nt
drug allergy,Xanthine oxidase inhibitor allergy,Xa5nu
drug allergy,Allopurinol allergy,Xa5nv
drug allergy,Skeletal muscle relaxant allergy,Xa5nw
drug allergy,Neuromuscular transmission drug allergy,Xa5nx
drug allergy,Depolarising muscle relaxant allergy,Xa5ny
drug allergy,Suxamethonium allergy,Xa5nz
drug allergy,Non-depolarising muscle relaxant allergy,Xa5o0
drug allergy,Mivacurium allergy,Xa5o1
drug allergy,Alcuronium allergy,Xa5o2
drug allergy,Atracurium allergy,Xa5o3
drug allergy,Gallamine allergy,Xa5o4
drug allergy,Pancuronium allergy,Xa5o5
drug allergy,Tubocurarine allergy,Xa5o6
drug allergy,Vecuronium allergy,Xa5o7
drug allergy,Rocuronium allergy,Xa5o8
drug allergy,Baclofen allergy,Xa5o9
drug allergy,Carisoprodol allergy,Xa5oA
drug allergy,Methocarbamol allergy,Xa5oB
drug allergy,Dantrolene allergy,Xa5oC
drug allergy,Gold allergy,Xa5oD
drug allergy,Sodium aurothiomalate allergy,Xa5oE
drug allergy,Auranofin allergy,Xa5oF
drug allergy,Smooth muscle relaxant allergy,Xa5oG
drug allergy,Papaverine allergy,Xa5oH
drug allergy,Flavoxate allergy,Xa5oI
drug allergy,Drug groups prim used in obstets gynae.+ut disorders allergy,Xa5oJ
drug allergy,Mifepristone allergy,Xa5oK
drug allergy,Non-ionic surfactant allergy,Xa5oL
drug allergy,Nonoxinol allergy,Xa5oM
drug allergy,Octoxinol allergy,Xa5oN
drug allergy,Prostaglandin allergy,Xa5oO
drug allergy,A series prostaglandin allergy,Xa5oP
drug allergy,E series prostaglandin allergy,Xa5oQ
drug allergy,Dinoprostone allergy,Xa5oR
drug allergy,Gemeprost allergy,Xa5oS
drug allergy,Alprostadil allergy,Xa5oT
drug allergy,F series prostaglandin allergy,Xa5oU
drug allergy,Dinoprost allergy,Xa5oV
drug allergy,Carboprost allergy,Xa5oW
drug allergy,I series prostaglandin allergy,Xa5oX
drug allergy,Epoprostenol allergy,Xa5oY
drug allergy,Terpenes allergy,Xa5oZ
drug allergy,Chelating agents and antidotes allergy,Xa5oa
drug allergy,Antidote allergy,Xa5ob
drug allergy,Ipecacuanha allergy,Xa5oc
drug allergy,Charcoal-activated allergy,Xa5od
drug allergy,Sodium nitrite allergy,Xa5oe
drug allergy,Sodium thiosulphate allergy,Xa5of
drug allergy,Digoxin-specific-antibody allergy,Xa5og
drug allergy,Mesna allergy,Xa5oh
drug allergy,Benzodiazepine antagonist allergy,Xa5oi
drug allergy,Flumazenil allergy,Xa5oj
drug allergy,Cholinesterase reactivator allergy,Xa5ok
drug allergy,Pralidoxime allergy,Xa5ol
drug allergy,Hydrofluoric acid burn antidote allergy,Xa5om
drug allergy,Opioid antagonist allergy,Xa5on
drug allergy,Naltrexone allergy,Xa5oo
drug allergy,Naloxone allergy,Xa5op
drug allergy,Protamine allergy,Xa5oq
drug allergy,Antidotes for pesticides allergy,Xa5or
drug allergy,Fullers earth powder allergy,Xa5os
drug allergy,Bentonite powder allergy,Xa5ot
drug allergy,Chelating agent allergy,Xa5ou
drug allergy,Dimercaprol allergy,Xa5ov
drug allergy,Desferrioxamine allergy,Xa5ow
drug allergy,Edetate allergy,Xa5ox
drug allergy,Dicobalt edetate allergy,Xa5oy
drug allergy,Sodium calcium edetate allergy,Xa5oz
drug allergy,Trisodium edetate allergy,Xa5p0
drug allergy,Disodium edetate allergy,Xa5p1
drug allergy,Trientine allergy,Xa5p2
drug allergy,Penicillamine allergy,Xa5p3
drug allergy,Alternative medicines allergy,Xa5p4
drug allergy,Homoeopathic medicine allergy,Xa5p5
drug allergy,Anthroposophical medicine allergy,Xa5p6
drug allergy,Herbal medicine allergy,Xa5p7
drug allergy,Miscellaneous fluids and solutions allergy,Xa5p8
drug allergy,Sodium hyaluronate allergy,Xa5p9
drug allergy,Glycine allergy,Xa5pA
drug allergy,Dialysis fluid allergy,Xa5pB
drug allergy,Peritoneal dialysis solution allergy,Xa5pC
drug allergy,Haemodialysis fluid allergy,Xa5pD
drug allergy,Haemofiltration solution allergy,Xa5pE
drug allergy,Cardioplegia solution allergy,Xa5pF
drug allergy,Miscellaneous topical preparations allergy,Xa5pG
drug allergy,Dimethyl-ether propane allergy,Xa5pH
drug allergy,Citrate allergy,Xa5pI
drug allergy,Haemorrhoid preparation allergy,Xa5pJ
drug allergy,Ear wax removal preparation allergy,Xa5pK
drug allergy,Topical potassium allergy,Xa5pL
drug allergy,Topical zinc allergy,Xa5pM
drug allergy,Oropharyngeal preparations allergy,Xa5pN
drug allergy,Artificial saliva allergy,Xa5pO
drug allergy,Allergy to bases and inactive substances,Xa5pP
drug allergy,Fixed oil allergy,Xa5pQ
drug allergy,Olive oil allergy,Xa5pR
drug allergy,Arachis oil allergy,Xa5pS
drug allergy,Castor oil allergy,Xa5pT
drug allergy,Glycerol/glycol/macrogol allergy,Xa5pU
drug allergy,Glycerol allergy,Xa5pV
drug allergy,Lubricant allergy,Xa5pW
drug allergy,Base allergy,Xa5pX
drug allergy,Barrier preparation allergy,Xa5pY
drug allergy,Paraffin allergy,Xa5pZ
drug allergy,Paraffin-yellow soft allergy,Xa5pa
drug allergy,Paraffin-white soft allergy,Xa5pb
drug allergy,Liquid paraffin allergy,Xa5pc
drug allergy,Silicone allergy,Xa5pd
drug allergy,Dimethicone allergy,Xa5pe
drug allergy,Wool alcohol allergy,Xa5pf
drug allergy,Viscosity modifier allergy,Xa5pg
drug allergy,Polyvinyl alcohol allergy,Xa5ph
drug allergy,Carbomer-940 allergy,Xa5pi
drug allergy,Cellulose-derived viscosity modifier allergy,Xa5pj
drug allergy,Hypromellose allergy,Xa5pk
drug allergy,Hypromellose eye drops allergy,Xa5pl
drug allergy,Hydroxyethylcellulose allergy,Xa5pm
drug allergy,Hydroxypropylmethylcellulose allergy,Xa5pn
drug allergy,Carmellose allergy,Xa5po
drug allergy,Anti-infectives allergy,Xa5pp
drug allergy,Antifungal drug allergy,Xa5pq
drug allergy,Flucytosine allergy,Xa5pr
drug allergy,Terbinafine allergy,Xa5ps
drug allergy,Nitrophenol allergy,Xa5pt
drug allergy,Tolnaftate allergy,Xa5pu
drug allergy,Amorolfine allergy,Xa5pv
drug allergy,Antibiotic antifungal allergy,Xa5pw
drug allergy,Griseofulvin allergy,Xa5px
drug allergy,Amphotericin allergy,Xa5py
drug allergy,Natamycin allergy,Xa5pz
drug allergy,Nystatin allergy,Xa5q0
drug allergy,Azole antifungal allergy,Xa5q1
drug allergy,Undecenoates allergy,Xa5q2
drug allergy,Imidazole antifungal allergy,Xa5q3
drug allergy,Clotrimazole allergy,Xa5q4
drug allergy,Fenticonazole allergy,Xa5q5
drug allergy,Tioconazole allergy,Xa5q6
drug allergy,Econazole allergy,Xa5q7
drug allergy,Isoconazole allergy,Xa5q8
drug allergy,Sulconazole allergy,Xa5q9
drug allergy,Ketoconazole allergy,Xa5qA
drug allergy,Miconazole allergy,Xa5qB
drug allergy,Triazole antifungals allergy,Xa5qC
drug allergy,Fluconazole allergy,Xa5qD
drug allergy,Itraconazole allergy,Xa5qE
drug allergy,Antiviral drug allergy,Xa5qF
drug allergy,Inosine pranobex allergy,Xa5qG
drug allergy,Zidovudine allergy,Xa5qH
drug allergy,Ganciclovir allergy,Xa5qI
drug allergy,Famciclovir allergy,Xa5qJ
drug allergy,Didanosine allergy,Xa5qK
drug allergy,Zalcitabine allergy,Xa5qL
drug allergy,Valaciclovir allergy,Xa5qM
drug allergy,Interferons allergy,Xa5qN
drug allergy,Human interferon gamma-1b allergy,Xa5qO
drug allergy,Interferon-A-2a allergy,Xa5qP
drug allergy,Interferon-A-2b allergy,Xa5qQ
drug allergy,Interferon-A-N1 allergy,Xa5qR
drug allergy,Ribavirin allergy,Xa5qS
drug allergy,Trifluorothymidine allergy,Xa5qT
drug allergy,Foscarnet allergy,Xa5qU
drug allergy,Vidarabine allergy,Xa5qV
drug allergy,Aciclovir allergy,Xa5qW
drug allergy,Idoxuridine allergy,Xa5qX
drug allergy,Idoxuridine in dimethylsulphoxide allergy,Xa5qY
drug allergy,Antimalarial drug allergy,Xa5qZ
drug allergy,Pyrimethamine allergy,Xa5qa
drug allergy,Aminoquinoline antimalarial allergy,Xa5qb
drug allergy,Amodiaquine allergy,Xa5qc
drug allergy,Primaquine allergy,Xa5qd
drug allergy,Mefloquine allergy,Xa5qe
drug allergy,Hydroxychloroquine allergy,Xa5qf
drug allergy,Chloroquine allergy,Xa5qg
drug allergy,Biguanide antimalarial allergy,Xa5qh
drug allergy,Proguanil allergy,Xa5qi
drug allergy,Cinchona antimalarial allergy,Xa5qj
drug allergy,Quinine allergy,Xa5qk
drug allergy,Halofantrine allergy,Xa5ql
drug allergy,Mepacrine allergy,Xa5qm
drug allergy,Lactobacill acidophil vaccine allergy,Xa5qn
drug allergy,Anti-infective nasal preparations allergy,Xa5qo
drug allergy,Disinfectants and cleansers allergy,Xa5qp
drug allergy,Acetic acid allergy,Xa5qq
drug allergy,Hydragaphen allergy,Xa5qr
drug allergy,Polynoxylin allergy,Xa5qs
drug allergy,Hexetidine allergy,Xa5qt
drug allergy,Sodium perborate allergy,Xa5qu
drug allergy,Chlorinated solutions allergy,Xa5qv
drug allergy,Potassium permanganate allergy,Xa5qw
drug allergy,Bismuth subnitrate and iodoform paste impregn gauze allergy,Xa5qx
drug allergy,Phenolics allergy,Xa5qy
drug allergy,Thymol allergy,Xa5qz
drug allergy,Chlorinated phenol disinfectant allergy,Xa5r0
drug allergy,Chloroxylenol allergy,Xa5r1
drug allergy,Hexachlorophene allergy,Xa5r2
drug allergy,Triclosan allergy,Xa5r3
drug allergy,Phenol allergy,Xa5r4
drug allergy,Alcoholic disinfectant allergy,Xa5r5
drug allergy,Alcohol products allergy,Xa5r6
drug allergy,Industrial methylated spirit allergy,Xa5r7
drug allergy,Aldehyde disinfectant allergy,Xa5r8
drug allergy,Glutaraldehyde allergy,Xa5r9
drug allergy,Formaldehyde and related compounds allergy,Xa5rA
drug allergy,Noxythiolin allergy,Xa5rB
drug allergy,Formaldehyde allergy,Xa5rC
drug allergy,Amidine disinfectant allergy,Xa5rD
drug allergy,Propamidine isethionate allergy,Xa5rE
drug allergy,Dibrompropamidine isethionate allergy,Xa5rF
drug allergy,Biguanide disinfectant allergy,Xa5rG
drug allergy,Chlorhexidine allergy,Xa5rH
drug allergy,Chlorhexidine hydrochloride and neomycin sulphate allergy,Xa5rI
drug allergy,Borate allergy,Xa5rJ
drug allergy,Boric acid allergy,Xa5rK
drug allergy,Cationic surfactant allergy,Xa5rL
drug allergy,Quaternary ammonium surfactant allergy,Xa5rM
drug allergy,Cetrimide allergy,Xa5rN
drug allergy,Benzalkonium allergy,Xa5rO
drug allergy,Domiphen allergy,Xa5rP
drug allergy,Quaternary pyridinium surfactant allergy,Xa5rQ
drug allergy,Cetylpyridinium allergy,Xa5rR
drug allergy,Quaternary quinolinium surfactant allergy,Xa5rS
drug allergy,Dequalinium allergy,Xa5rT
drug allergy,Disinfectant dye allergy,Xa5rU
drug allergy,Acridine azo disinfectant dye allergy,Xa5rV
drug allergy,Triphenylmethane azo disinfectant dye allergy,Xa5rW
drug allergy,Crystal violet allergy,Xa5rX
drug allergy,Brilliant green allergy,Xa5rY
drug allergy,Hydrogen peroxide allergy,Xa5rZ
drug allergy,Anthelmintics allergy,Xa5ra
drug allergy,Piperazine allergy,Xa5rb
drug allergy,Pyrantel allergy,Xa5rc
drug allergy,Niclosamide allergy,Xa5rd
drug allergy,Bephenium allergy,Xa5re
drug allergy,Diethylcarbamazine allergy,Xa5rf
drug allergy,Benzimidazole anthelmintic allergy,Xa5rg
drug allergy,Mebendazole allergy,Xa5rh
drug allergy,Albendazole allergy,Xa5ri
drug allergy,Tiabendazole allergy,Xa5rj
drug allergy,Antibacterial drug allergy,Xa5rk
drug allergy,Aminoglycosides allergy,Xa5rl
drug allergy,Amikacin allergy,Xa5rm
drug allergy,Kanamycin allergy,Xa5rn
drug allergy,Netilmicin allergy,Xa5ro
drug allergy,Streptomycin allergy,Xa5rp
drug allergy,Framycetin allergy,Xa5rq
drug allergy,Neomycin allergy,Xa5rr
drug allergy,Gentamicin allergy,Xa5rs
drug allergy,Tobramycin allergy,Xa5rt
drug allergy,Macrolide allergy,Xa5ru
drug allergy,Erythromycin allergy,Xa5rv
drug allergy,Clarithromycin allergy,Xa5rw
drug allergy,Azithromycin allergy,Xa5rx
drug allergy,Sodium fusidate allergy,Xa5ry
drug allergy,Spectinomycin allergy,Xa5rz
drug allergy,Vancomycin allergy,Xa5s0
