read_code,read_term,cat2,cat1
x02mx,parstelin,anti-depressant,comorbidity prescription
d915.,parstelin tablet,anti-depressant,comorbidity prescription
x05vF,paxoran,anti-depressant,comorbidity prescription
da98.,paxoran 10mg tablet,anti-depressant,comorbidity prescription
da99.,paxoran 20mg tablet,anti-depressant,comorbidity prescription
da9A.,paxoran 40mg tablet,anti-depressant,comorbidity prescription
d81..,phenelzine,anti-depressant,comorbidity prescription
d81z.,phenelzine 15mg tablet,anti-depressant,comorbidity prescription
d773.,praminil 10mg tablet,anti-depressant,comorbidity prescription
x02o5,prepadine,anti-depressant,comorbidity prescription
d753.,prepadine 25mg capsule,anti-depressant,comorbidity prescription
d754.,prepadine 75mg tablet,anti-depressant,comorbidity prescription
x02oe,prothiaden,anti-depressant,comorbidity prescription
d751.,prothiaden 25mg capsule,anti-depressant,comorbidity prescription
d752.,prothiaden 75mg tablet,anti-depressant,comorbidity prescription
x02oh,prozac,anti-depressant,comorbidity prescription
da45.,prozac 20mg capsule,anti-depressant,comorbidity prescription
da42.,prozac 20mg capsule x30,anti-depressant,comorbidity prescription
da44.,prozac 20mg/5ml liquid,anti-depressant,comorbidity prescription
da47.,prozac 60mg capsule,anti-depressant,comorbidity prescription
da4C.,prozep 20mg/5ml oral solution,anti-depressant,comorbidity prescription
x05pd,prozit,anti-depressant,comorbidity prescription
da4B.,prozit 20mg/5ml oral solution,anti-depressant,comorbidity prescription
da7g.,ranfaxine xl 75mg m/r capsule,anti-depressant,comorbidity prescription
x05ZY,ranflutin,anti-depressant,comorbidity prescription
da4A.,ranflutin 20mg capsule,anti-depressant,comorbidity prescription
daA..,reboxetine,anti-depressant,comorbidity prescription
daA1.,reboxetine 4mg tablet,anti-depressant,comorbidity prescription
da7C.,rodomel xl 150mg m/r capsule,anti-depressant,comorbidity prescription
da7B.,rodomel xl 75mg m/r capsule,anti-depressant,comorbidity prescription
x03h0,seroxat,anti-depressant,comorbidity prescription
da68.,seroxat 10mg tablet,anti-depressant,comorbidity prescription
da66.,seroxat 10mg/5ml s/f liquid,anti-depressant,comorbidity prescription
x00fz,seroxat 20mg tablet,anti-depressant,comorbidity prescription
da62.,seroxat 20mg tablet x30,anti-depressant,comorbidity prescription
x00g0,seroxat 30mg tablet,anti-depressant,comorbidity prescription
da64.,seroxat 30mg tablet x30,anti-depressant,comorbidity prescription
da5..,sertraline,anti-depressant,comorbidity prescription
da52.,sertraline 100mg tablet,anti-depressant,comorbidity prescription
da51.,sertraline 50mg tablet,anti-depressant,comorbidity prescription
d765.,sinepin 25mg capsule,anti-depressant,comorbidity prescription
d766.,sinepin 50mg capsule,anti-depressant,comorbidity prescription
x03w4,sinequan,anti-depressant,comorbidity prescription
x00E9,sinequan 10mg capsule,anti-depressant,comorbidity prescription
d761.,sinequan 10mg capsule x56cp,anti-depressant,comorbidity prescription
x00EA,sinequan 25mg capsule,anti-depressant,comorbidity prescription
d762.,sinequan 25mg capsule x28cp,anti-depressant,comorbidity prescription
x00EB,sinequan 50mg capsule,anti-depressant,comorbidity prescription
d763.,sinequan 50mg capsule x28cp,anti-depressant,comorbidity prescription
x00EC,sinequan 75mg capsule,anti-depressant,comorbidity prescription
d764.,sinequan 75mg capsule x28cp,anti-depressant,comorbidity prescription
x02rr,surmontil,anti-depressant,comorbidity prescription
d7f2.,surmontil 10mg tablet,anti-depressant,comorbidity prescription
d7f3.,surmontil 25mg tablet,anti-depressant,comorbidity prescription
x00ED,surmontil 50mg capsule,anti-depressant,comorbidity prescription
d7f1.,surmontil 50mg capsule x28cp,anti-depressant,comorbidity prescription
da7M.,tardcaps xl 150mg m/r capsule,anti-depressant,comorbidity prescription
da7L.,tardcaps xl 75mg m/r capsule,anti-depressant,comorbidity prescription
x05Cq,thaden,anti-depressant,comorbidity prescription
d759.,thaden 25mg capsule,anti-depressant,comorbidity prescription
d75A.,thaden 75mg tablet,anti-depressant,comorbidity prescription
da7S.,tifaxin xl 150mg m/r capsule,anti-depressant,comorbidity prescription
da7R.,tifaxin xl 75mg m/r capsule,anti-depressant,comorbidity prescription
d775.,tofranil 10mg tablet,anti-depressant,comorbidity prescription
d776.,tofranil 25mg tablet,anti-depressant,comorbidity prescription
d777.,tofranil 25mg/5ml syrup,anti-depressant,comorbidity prescription
da7k.,tonpular xl 150mg m/r capsule,anti-depressant,comorbidity prescription
da7j.,tonpular xl 75mg m/r capsule,anti-depressant,comorbidity prescription
d84..,tranylcypromine,anti-depressant,comorbidity prescription
d84z.,tranylcypromine 10mg tablet,anti-depressant,comorbidity prescription
d91B.,tranylcypromine+trifluoperazine 10mg/1mg tablet,anti-depressant,comorbidity prescription
x01B2,trazodone,anti-depressant,comorbidity prescription
d7e..,trazodone hydrochloride,anti-depressant,comorbidity prescription
d7ew.,trazodone hydrochloride 100mg capsule,anti-depressant,comorbidity prescription
d7e7.,trazodone hydrochloride 150mg m/r tablet,anti-depressant,comorbidity prescription
d7e5.,trazodone hydrochloride 150mg tablet,anti-depressant,comorbidity prescription
d7ex.,trazodone hydrochloride 50mg capsule,anti-depressant,comorbidity prescription
d7ez.,trazodone hydrochloride 50mg/5ml liquid,anti-depressant,comorbidity prescription
d7f..,trimipramine,anti-depressant,comorbidity prescription
d7fy.,trimipramine 10mg tablet,anti-depressant,comorbidity prescription
d7fz.,trimipramine 25mg tablet,anti-depressant,comorbidity prescription
d7fx.,trimipramine 50mg capsule,anti-depressant,comorbidity prescription
x02tO,triptafen,anti-depressant,comorbidity prescription
d916.,triptafen tablet,anti-depressant,comorbidity prescription
x02tP,triptafen-m,anti-depressant,comorbidity prescription
d917.,triptafen-m tablet,anti-depressant,comorbidity prescription
x02tX,tryptizol,anti-depressant,comorbidity prescription
d71g.,tryptizol 100mg/10ml injection,anti-depressant,comorbidity prescription
d71c.,tryptizol 10mg tablet,anti-depressant,comorbidity prescription
d71f.,tryptizol 10mg/5ml mixture,anti-depressant,comorbidity prescription
d71d.,tryptizol 25mg tablet,anti-depressant,comorbidity prescription
d71e.,tryptizol 50mg tablet,anti-depressant,comorbidity prescription
d71b.,tryptizol 75mg m/r capsule,anti-depressant,comorbidity prescription
da2y.,tryptophan 500mg tablet,anti-depressant,comorbidity prescription
daD1.,valdoxan 25mg tablet,anti-depressant,comorbidity prescription
da7a.,venaxx xl 150mg m/r capsule,anti-depressant,comorbidity prescription
da7Z.,venaxx xl 75mg m/r capsule,anti-depressant,comorbidity prescription
da7..,venlafaxine,anti-depressant,comorbidity prescription
da79.,venlafaxine 150mg m/r capsule,anti-depressant,comorbidity prescription
da7K.,venlafaxine 150mg m/r tablet,anti-depressant,comorbidity prescription
da7w.,venlafaxine 225mg m/r capsule,anti-depressant,comorbidity prescription
da7Y.,venlafaxine 225mg m/r tablet,anti-depressant,comorbidity prescription
da7q.,venlafaxine 37.5mg m/r tablet,anti-depressant,comorbidity prescription
da71.,venlafaxine 37.5mg tablet,anti-depressant,comorbidity prescription
da75.,venlafaxine 50mg tablet,anti-depressant,comorbidity prescription
da77.,venlafaxine 75mg m/r capsule,anti-depressant,comorbidity prescription
da7I.,venlafaxine 75mg m/r tablet,anti-depressant,comorbidity prescription
da72.,venlafaxine 75mg tablet,anti-depressant,comorbidity prescription
da7W.,venlalic xl 150mg m/r tablet,anti-depressant,comorbidity prescription
da7X.,venlalic xl 225mg m/r tablet,anti-depressant,comorbidity prescription
da7p.,venlalic xl 37.5mg m/r tablet,anti-depressant,comorbidity prescription
da7V.,venlalic xl 75mg m/r tablet,anti-depressant,comorbidity prescription
da7Q.,vensir xl 150mg m/r capsule,anti-depressant,comorbidity prescription
da7P.,vensir xl 75mg m/r capsule,anti-depressant,comorbidity prescription
da7U.,vexarin xl 150mg m/r capsule,anti-depressant,comorbidity prescription
da7T.,vexarin xl 75mg m/r capsule,anti-depressant,comorbidity prescription
da7N.,viepax 37.5mg tablet,anti-depressant,comorbidity prescription
da7O.,viepax 75mg tablet,anti-depressant,comorbidity prescription
da7J.,viepax xl 150mg m/r tablet,anti-depressant,comorbidity prescription
da7H.,viepax xl 75mg m/r tablet,anti-depressant,comorbidity prescription
x03q9,zispin,anti-depressant,comorbidity prescription
daB2.,zispin 30mg tablet,anti-depressant,comorbidity prescription
daB6.,zispin soltab 15mg oro-dispersible tablet,anti-depressant,comorbidity prescription
daB4.,zispin soltab 30mg oro-dispersible tablet,anti-depressant,comorbidity prescription
daB8.,zispin soltab 45mg oro-dispersible tablet,anti-depressant,comorbidity prescription
d22..,alprazolam,anti-anxiety,comorbidity prescription
x05KZ,alprazolam - chemical,anti-anxiety,comorbidity prescription
d22y.,alprazolam 250mcg tablet,anti-anxiety,comorbidity prescription
d22z.,alprazolam 500mcg tablet,anti-anxiety,comorbidity prescription
d21c.,atensine 10mg tablet,anti-anxiety,comorbidity prescription
x02Ui,ativan,anti-anxiety,comorbidity prescription
do41.,ativan [ep] 4mg/ml injection,anti-anxiety,comorbidity prescription
d2a5.,ativan 1mg tablet,anti-anxiety,comorbidity prescription
d2a6.,ativan 2.5mg tablet,anti-anxiety,comorbidity prescription
d2a7.,ativan 4mg/1ml injection,anti-anxiety,comorbidity prescription
x02WF,buspar,anti-anxiety,comorbidity prescription
d2f4.,buspar 10mg tablet,anti-anxiety,comorbidity prescription
d2f2.,buspar 5mg tablet,anti-anxiety,comorbidity prescription
d2f3.,buspar 5mg tablet x126,anti-anxiety,comorbidity prescription
d2f..,buspirone,anti-anxiety,comorbidity prescription
x01BH,buspirone,anti-anxiety,comorbidity prescription
d2f5.,buspirone 10mg tablet,anti-anxiety,comorbidity prescription
d2f1.,buspirone 5mg tablet,anti-anxiety,comorbidity prescription
d12v.,clomethiazole 192mg capsule,anti-anxiety,comorbidity prescription
d215.,diazepam 10mg tablet,anti-anxiety,comorbidity prescription
d211.,diazepam 2mg capsule,anti-anxiety,comorbidity prescription
d213.,diazepam 2mg tablet,anti-anxiety,comorbidity prescription
d212.,diazepam 5mg capsule,anti-anxiety,comorbidity prescription
d214.,diazepam 5mg tablet,anti-anxiety,comorbidity prescription
d1an.,euhypnos 10mg/5ml oral solution,anti-anxiety,comorbidity prescription
d1al.,euhypnos 10mg/sachet oral solution,anti-anxiety,comorbidity prescription
d1am.,euhypnos 20mg/sachet oral solution,anti-anxiety,comorbidity prescription
d21f.,evacalm 5mg tablet,anti-anxiety,comorbidity prescription
x02hT,librium,anti-anxiety,comorbidity prescription
d24e.,librium 100mg injection,anti-anxiety,comorbidity prescription
d24a.,librium 10mg capsule,anti-anxiety,comorbidity prescription
d24c.,librium 10mg tablet,anti-anxiety,comorbidity prescription
d24d.,librium 25mg tablet,anti-anxiety,comorbidity prescription
d249.,librium 5mg capsule,anti-anxiety,comorbidity prescription
d24b.,librium 5mg tablet,anti-anxiety,comorbidity prescription
d2a..,lorazepam [anxiolytic],anti-anxiety,comorbidity prescription
d2a1.,lorazepam 1mg tablet,anti-anxiety,comorbidity prescription
d2a2.,lorazepam 2.5mg tablet,anti-anxiety,comorbidity prescription
d2az.,lorazepam 4mg/1ml injection,anti-anxiety,comorbidity prescription
d17..,lormetazepam,anti-anxiety,comorbidity prescription
d172.,lormetazepam 1mg tablet,anti-anxiety,comorbidity prescription
d171.,lormetazepam 500mcg tablet,anti-anxiety,comorbidity prescription
d2c2.,meprobamate 400mg tablet,anti-anxiety,comorbidity prescription
x02jk,mogadon,anti-anxiety,comorbidity prescription
d185.,mogadon 5mg capsule,anti-anxiety,comorbidity prescription
d186.,mogadon 5mg tablet,anti-anxiety,comorbidity prescription
x02jl,molipaxin,anti-anxiety,comorbidity prescription
x00E5,molipaxin 100mg capsule,anti-anxiety,comorbidity prescription
d7e2.,molipaxin 100mg capsule x56cp,anti-anxiety,comorbidity prescription
x00fa,molipaxin 150mg tablet,anti-anxiety,comorbidity prescription
d7e4.,molipaxin 150mg tablet x28cp,anti-anxiety,comorbidity prescription
x00E4,molipaxin 50mg capsule,anti-anxiety,comorbidity prescription
d7e1.,molipaxin 50mg capsule x84cp,anti-anxiety,comorbidity prescription
d7e3.,molipaxin 50mg/5ml liquid,anti-anxiety,comorbidity prescription
x03sq,molipaxin cr,anti-anxiety,comorbidity prescription
d7e6.,molipaxin cr 150mg m/r tablet x28,anti-anxiety,comorbidity prescription
x00fb,molipaxin cr 150mg tablet,anti-anxiety,comorbidity prescription
d187.,nitrados 5mg tablet,anti-anxiety,comorbidity prescription
d183.,nitrazepam 10mg tablet,anti-anxiety,comorbidity prescription
d184.,nitrazepam 2.5mg/5ml suspension,anti-anxiety,comorbidity prescription
d181.,nitrazepam 5mg capsule,anti-anxiety,comorbidity prescription
d182.,nitrazepam 5mg tablet,anti-anxiety,comorbidity prescription
d18f.,nitrazepam 5mg/5ml suspension,anti-anxiety,comorbidity prescription
d174.,noctamid 1mg tablet,anti-anxiety,comorbidity prescription
d173.,noctamid 500mcg tablet,anti-anxiety,comorbidity prescription
x02lI,normison,anti-anxiety,comorbidity prescription
d1a6.,normison 10mg capsule,anti-anxiety,comorbidity prescription
d1a7.,normison 20mg capsule,anti-anxiety,comorbidity prescription
x01BD,oral lorazepam,anti-anxiety,comorbidity prescription
d2d5.,oxanid 10mg tablet,anti-anxiety,comorbidity prescription
d2d2.,oxazepam 10mg tablet,anti-anxiety,comorbidity prescription
d2d3.,oxazepam 15mg tablet,anti-anxiety,comorbidity prescription
d2d1.,oxazepam 30mg capsule,anti-anxiety,comorbidity prescription
d2d4.,oxazepam 30mg tablet,anti-anxiety,comorbidity prescription
x01BE,parenteral lorazepam,anti-anxiety,comorbidity prescription
d18a.,remnos 10mg tablet,anti-anxiety,comorbidity prescription
d21g.,solis 2mg capsule,anti-anxiety,comorbidity prescription
d21h.,solis 5mg capsule,anti-anxiety,comorbidity prescription
x02rF,somnite,anti-anxiety,comorbidity prescription
d18c.,somnite 2.5mg/5ml suspension,anti-anxiety,comorbidity prescription
d18b.,somnite 5mg tablet,anti-anxiety,comorbidity prescription
x056Q,sonata,anti-anxiety,comorbidity prescription
d1g2.,sonata 10mg capsule,anti-anxiety,comorbidity prescription
d1g1.,sonata 5mg capsule,anti-anxiety,comorbidity prescription
x02ra,stilnoct,anti-anxiety,comorbidity prescription
d1f4.,stilnoct 10mg tablet,anti-anxiety,comorbidity prescription
d1f1.,stilnoct 5mg tablet,anti-anxiety,comorbidity prescription
d18d.,surem 5mg capsule,anti-anxiety,comorbidity prescription
d1a1.,temazepam 10mg capsule,anti-anxiety,comorbidity prescription
d1a9.,temazepam 10mg tablet,anti-anxiety,comorbidity prescription
d1af.,temazepam 10mg thick gel capsule,anti-anxiety,comorbidity prescription
d1a5.,temazepam 10mg/5ml oral solution,anti-anxiety,comorbidity prescription
d1ao.,temazepam 10mg/5ml s/f oral solution,anti-anxiety,comorbidity prescription
d1aj.,temazepam 10mg/sachet oral solution,anti-anxiety,comorbidity prescription
d1a2.,temazepam 15mg capsule,anti-anxiety,comorbidity prescription
d1ah.,temazepam 15mg thick gel capsule,anti-anxiety,comorbidity prescription
d1aa.,temazepam 20mg tablet,anti-anxiety,comorbidity prescription
d1ag.,temazepam 20mg thick gel capsule,anti-anxiety,comorbidity prescription
d1a4.,temazepam 30mg capsule,anti-anxiety,comorbidity prescription
d1ai.,temazepam 30mg thick gel capsule,anti-anxiety,comorbidity prescription
d1ab.,temazepam gelthix 10mg capsule,anti-anxiety,comorbidity prescription
d1ad.,temazepam gelthix 15mg capsule,anti-anxiety,comorbidity prescription
d1ac.,temazepam gelthix 20mg capsule,anti-anxiety,comorbidity prescription
d1ae.,temazepam gelthix 30mg capsule,anti-anxiety,comorbidity prescription
d1a8.,temazepam planpak capsule,anti-anxiety,comorbidity prescription
d7ew.,trazodone 100mg capsule,anti-anxiety,comorbidity prescription
d7e7.,trazodone 150mg m/r tablet,anti-anxiety,comorbidity prescription
d7e5.,trazodone 150mg tablet,anti-anxiety,comorbidity prescription
d7ex.,trazodone 50mg capsule,anti-anxiety,comorbidity prescription
d7ez.,trazodone 50mg/5ml liquid,anti-anxiety,comorbidity prescription
d21t.,valium 10mg tablet,anti-anxiety,comorbidity prescription
d21p.,valium 2mg capsule,anti-anxiety,comorbidity prescription
d21r.,valium 2mg tablet,anti-anxiety,comorbidity prescription
d21u.,valium 2mg/5ml syrup,anti-anxiety,comorbidity prescription
d21q.,valium 5mg capsule,anti-anxiety,comorbidity prescription
d21s.,valium 5mg tablet,anti-anxiety,comorbidity prescription
x02uj,xanax,anti-anxiety,comorbidity prescription
d221.,xanax 250mcg tablet,anti-anxiety,comorbidity prescription
d222.,xanax 500mcg tablet,anti-anxiety,comorbidity prescription
d1g..,zaleplon,anti-anxiety,comorbidity prescription
d1gz.,zaleplon 10mg capsule,anti-anxiety,comorbidity prescription
d1gy.,zaleplon 5mg capsule,anti-anxiety,comorbidity prescription
x04bE,zileze 3.75,anti-anxiety,comorbidity prescription
d1d6.,zileze 3.75 tablet,anti-anxiety,comorbidity prescription
x04bF,zileze 7.5,anti-anxiety,comorbidity prescription
d1d5.,zileze 7.5 tablet,anti-anxiety,comorbidity prescription
x02v0,zimovane,anti-anxiety,comorbidity prescription
d1d2.,zimovane 7.5mg tablet,anti-anxiety,comorbidity prescription
x03ha,zimovane ls,anti-anxiety,comorbidity prescription
d1d4.,zimovane ls 3.75mg tablet,anti-anxiety,comorbidity prescription
d1f..,zolpidem,anti-anxiety,comorbidity prescription
d1d..,zopiclone,anti-anxiety,comorbidity prescription
d1d3.,zopiclone 3.75mg tablet,anti-anxiety,comorbidity prescription
d1d1.,zopiclone 7.5mg tablet,anti-anxiety,comorbidity prescription
